"region","year","deforest_area","DEM","slope","road_dist","water_dist","soil_cec","soil_soc","deforest_hotspot_dist","settlement_cluster_dist","NPP","treated","deforest_rate","source_file"
"844 project area",2001,4.41,328.569596448469,7.54713895227108,309.983500331468,11.1211721947049,13.8153911356825,14.5547341492069,23.1989422755749,68.280345786784,821.821227925066,0,0.00450205377862506,"844_SCM_data_df_0.xlsx"
"844 project area",2002,4.32,328.569596448469,7.54713895227108,309.983500331468,10.9069083718854,13.8153911356825,14.5547341492069,23.1989422755749,68.280345786784,700.740859983089,0,0.00441017513008169,"844_SCM_data_df_0.xlsx"
"844 project area",2003,9.18,328.569596448469,7.54713895227108,309.983500331468,10.94342202131,13.8153911356825,14.5547341492069,22.3930224805639,53.5978101910256,1286.57346826311,0,0.0093716221514236,"844_SCM_data_df_0.xlsx"
"844 project area",2004,4.23,328.569596448469,7.54713895227108,309.983500331468,10.7555832402942,13.8153911356825,14.5547341492069,21.9880456720726,53.5978101910256,1274.02134979537,0,0.00431829648153832,"844_SCM_data_df_0.xlsx"
"844 project area",2005,4.23,328.569596448469,7.54713895227108,309.983500331468,10.727265761574,13.8153911356825,14.5547341492069,18.996573175727,53.5978101910256,1098.97389092404,0,0.00431829648153832,"844_SCM_data_df_0.xlsx"
"844 project area",2006,3.06,328.569596448469,7.54713895227108,309.983500331468,8.91693878111788,13.8153911356825,14.5547341492069,15.5486192696677,53.5978101910256,1321.33519137829,0,0.00312387405047453,"844_SCM_data_df_0.xlsx"
"844 project area",2007,8.1,328.569596448469,7.54713895227108,309.983500331468,11.816222212121,13.8153911356825,14.5547341492069,14.714920160698,53.5978101910256,1270.86169356776,0,0.00826907836890317,"844_SCM_data_df_0.xlsx"
"844 project area",2008,16.74,328.569596448469,7.54713895227108,309.983500331468,8.90050637756275,13.8153911356825,14.5547341492069,15.4566918381293,53.5978101910256,1258.43350451748,0,0.0170894286290666,"844_SCM_data_df_0.xlsx"
"844 project area",2009,6.93,328.569596448469,7.54713895227108,309.983500331468,11.2555625370922,13.8153911356825,14.5547341492069,13.6535809399385,53.5978101910256,1241.25104259428,1,0.00707465593783938,"844_SCM_data_df_0.xlsx"
"844 project area",2010,16.38,328.569596448469,7.54713895227108,189.770437704997,11.6243879950438,13.8153911356825,14.5547341492069,13.0387937381701,53.5978101910256,1223.88012133865,1,0.0167219140348931,"844_SCM_data_df_0.xlsx"
"844 project area",2011,21.69,328.569596448469,7.54713895227108,50.6924569720086,11.2333804892648,13.8153911356825,14.5547341492069,9.9715807458587,53.5978101910256,1228.69130007596,1,0.0221427542989518,"844_SCM_data_df_0.xlsx"
"844 project area",2012,45.36,328.569596448469,7.54713895227108,50.6868039038631,13.1415398818565,13.8153911356825,14.5547341492069,9.30985763637422,53.5978101910256,1198.49989213661,1,0.0463068388658578,"844_SCM_data_df_0.xlsx"
"844 project area",2013,19.44,328.569596448469,7.54713895227108,50.6848037649429,10.8378945360421,13.8153911356825,14.5547341492069,6.99066828195498,53.5978101910256,1215.57885223124,1,0.0198457880853676,"844_SCM_data_df_0.xlsx"
"844 project area",2014,129.24,328.569596448469,7.54713895227108,37.084834333525,8.94215539557028,13.8153911356825,14.5547341492069,7.30224041782306,53.5978101910256,1171.97310060741,1,0.131937739308277,"844_SCM_data_df_0.xlsx"
"844 project area",2015,265.32,328.569596448469,7.54713895227108,37.0403989156049,9.64282378375839,13.8153911356825,14.5547341492069,5.64562691232396,53.5978101910256,1185.05207808287,1,0.270858255905851,"844_SCM_data_df_0.xlsx"
"844 project area",2016,60.03,328.569596448469,7.54713895227108,37.0403512465538,9.56913445232227,13.8153911356825,14.5547341492069,4.4980319424625,53.5978101910256,1287.56807713817,1,0.0612830585784269,"844_SCM_data_df_0.xlsx"
"844 project area",2017,40.14,328.569596448469,7.54713895227108,37.0403512465538,9.56520064679631,13.8153911356825,14.5547341492069,3.90928675487421,53.5978101910256,1235.57625021854,1,0.0409778772503424,"844_SCM_data_df_0.xlsx"
"844 project area",2018,26.55,328.569596448469,7.54713895227108,37.043142024497,11.1082949991777,13.8153911356825,14.5547341492069,4.01851092515774,53.5978101910256,1303.83400181374,1,0.0271042013202937,"844_SCM_data_df_0.xlsx"
"844 project area",2019,23.31,328.569596448469,7.54713895227108,37.043142024497,11.847258166927,13.8153911356825,14.5547341492069,4.77388257562215,53.5978101910256,1222.86302575737,1,0.0237965699727325,"844_SCM_data_df_0.xlsx"
"844 project area",2020,0.99,328.569596448469,7.54713895227108,7.59517863406672,9.5576358542931,13.8153911356825,14.5547341492069,6.11246862700834,53.5978101910256,1158.84680535207,1,0.00101066513397705,"844_SCM_data_df_0.xlsx"
"844 project area",2021,4.5,328.569596448469,7.54713895227108,7.59517863406672,10.9247409168123,13.8153911356825,14.5547341492069,7.19157112154602,53.5978101910256,1284.0747886951,1,0.00459393242716843,"844_SCM_data_df_0.xlsx"
"844 project area",2022,96.57,328.569596448469,7.54713895227108,7.59517863406672,10.9247409168123,13.8153911356825,14.5547341492069,9.50339160697012,53.5978101910256,1284.0747886951,1,0.0985857898870345,"844_SCM_data_df_0.xlsx"
"844 0 donor 182",2001,5.49,426.121526805264,11.8508158519357,140.022468166513,13.0643209517131,15.1080862329803,22.7649203704461,18.3394554196251,67.4462767802199,1164.18856603133,0,0.00560459756114549,"844_SCM_data_df_0.xlsx"
