"region","year","deforest_area","DEM","slope","road_dist","water_dist","soil_cec","soil_soc","deforest_hotspot_dist","settlement_cluster_dist","NPP","treated","deforest_rate","source_file"
"875 project area",2001,24.75,143.148362805121,4.9157037432961,229.267387209184,5.90045539458609,12.0538629837276,14.4431673257297,6.77400992657987,31.3919892430651,554.5377441728,0,0.0345372639329793,"875_SCM_data_df_0.xlsx"
"875 project area",2002,169.2,143.148362805121,4.9157037432961,229.267387209184,5.15015127672313,12.0538629837276,14.4431673257297,6.77400992657987,31.3919892430651,175.127814478931,0,0.236109295250913,"875_SCM_data_df_0.xlsx"
"875 project area",2003,3.51,143.148362805121,4.9157037432961,229.267387209184,4.96333206384383,12.0538629837276,14.4431673257297,5.04793726284294,30.5845313476452,1020.56619190949,0,0.00489801197594979,"875_SCM_data_df_0.xlsx"
"875 project area",2004,10.53,143.148362805121,4.9157037432961,229.267387209184,4.71118392153634,12.0538629837276,14.4431673257297,4.60757983758536,30.5845313476452,1128.84497749534,0,0.0146940359278494,"875_SCM_data_df_0.xlsx"
"875 project area",2005,26.01,143.148362805121,4.9157037432961,229.267387209184,4.65954090021645,12.0538629837276,14.4431673257297,4.61665420669001,30.5845313476452,980.908844946782,0,0.0362955246422946,"875_SCM_data_df_0.xlsx"
"875 project area",2006,11.25,143.148362805121,4.9157037432961,229.267387209184,4.56841069218113,12.0538629837276,14.4431673257297,6.39695655638529,30.5845313476452,1157.68099919586,0,0.0156987563331724,"875_SCM_data_df_0.xlsx"
"875 project area",2007,14.13,143.148362805121,4.9157037432961,229.267387209184,4.17469484523997,12.0538629837276,14.4431673257297,7.38316653432157,30.5845313476452,1031.92355394976,0,0.0197176379544645,"875_SCM_data_df_0.xlsx"
"875 project area",2008,13.41,143.148362805121,4.9157037432961,229.267387209184,4.56503744552104,12.0538629837276,14.4431673257297,6.7005731165944,30.5845313476452,1075.8692816936,0,0.0187129175491415,"875_SCM_data_df_0.xlsx"
"875 project area",2009,22.41,143.148362805121,4.9157037432961,229.267387209184,4.28815662169725,12.0538629837276,14.4431673257297,5.24126154786543,30.5845313476452,1069.71895138323,1,0.0312719226156794,"875_SCM_data_df_0.xlsx"
"875 project area",2010,30.42,143.148362805121,4.9157037432961,229.267387209184,4.55011940923383,12.0538629837276,14.4431673257297,5.15988409919044,30.5845313476452,997.768076325988,1,0.0424494371248981,"875_SCM_data_df_0.xlsx"
"875 project area",2011,16.92,143.148362805121,4.9157037432961,229.267387209184,4.18927501496732,12.0538629837276,14.4431673257297,5.31627639796193,30.5845313476452,1088.12861582363,1,0.0236109295250913,"875_SCM_data_df_0.xlsx"
"875 project area",2012,9.45,143.148362805121,4.9157037432961,216.567721881319,4.22706675495875,12.0538629837276,14.4431673257297,4.92469819038435,30.5845313476452,1085.84793856171,1,0.0131869553198648,"875_SCM_data_df_0.xlsx"
"875 project area",2013,10.44,143.148362805121,4.9157037432961,216.567721881319,4.03960837249027,12.0538629837276,14.4431673257297,4.92554175290031,30.5845313476452,1080.85779901046,1,0.014568445877184,"875_SCM_data_df_0.xlsx"
"875 project area",2014,43.38,143.148362805121,4.9157037432961,80.9699341619206,4.02760375180899,12.0538629837276,14.4431673257297,4.33856679194095,30.5845313476452,1095.45667154361,1,0.0605344044207127,"875_SCM_data_df_0.xlsx"
"875 project area",2015,69.66,143.148362805121,4.9157037432961,21.7908608241308,4.11307145379109,12.0538629837276,14.4431673257297,4.50412763323709,30.5845313476452,991.723297351933,1,0.0972066992150034,"875_SCM_data_df_0.xlsx"
"875 project area",2016,19.62,143.148362805121,4.9157037432961,21.7745943471665,3.92960727837546,12.0538629837276,14.4431673257297,3.77969359900972,30.5845313476452,1063.38363749065,1,0.0273786310450526,"875_SCM_data_df_0.xlsx"
"875 project area",2017,82.89,143.148362805121,4.9157037432961,11.4593504000357,3.91897500143044,12.0538629837276,14.4431673257297,3.89620813580421,30.5845313476452,1055.79579950188,1,0.115668436662814,"875_SCM_data_df_0.xlsx"
"875 project area",2018,55.62,143.148362805121,4.9157037432961,11.4593504000357,3.91819598889697,12.0538629837276,14.4431673257297,3.73918918417274,30.5845313476452,1096.88976484582,1,0.0776146513112043,"875_SCM_data_df_0.xlsx"
"875 project area",2019,44.19,143.148362805121,4.9157037432961,11.5128814169345,3.87856578993275,12.0538629837276,14.4431673257297,3.48685617693399,30.5845313476452,1107.4024062678,1,0.0616647148767012,"875_SCM_data_df_0.xlsx"
"875 project area",2020,93.87,143.148362805121,4.9157037432961,11.5128814169345,3.76032147856219,12.0538629837276,14.4431673257297,3.17513993644644,30.5845313476452,989.819165540503,1,0.13099042284399,"875_SCM_data_df_0.xlsx"
"875 project area",2021,126.81,143.148362805121,4.9157037432961,11.5128795901535,3.75783328704744,12.0538629837276,14.4431673257297,3.15048273908292,30.5845313476452,1111.55200084881,1,0.176956381387519,"875_SCM_data_df_0.xlsx"
"875 project area",2022,117.81,143.148362805121,4.9157037432961,11.5128772414351,3.75783328704744,12.0538629837276,14.4431673257297,3.23429261570194,30.5845313476452,1111.55200084881,1,0.164397376320981,"875_SCM_data_df_0.xlsx"
"875 0 donor 21",2001,5.4,189.171656842643,7.08757934009919,235.659105881712,17.5992991132557,11.472189563829,14.8290200528117,14.78332250946,36.649218833093,560.2235438787,0,0.00753540303992275,"875_SCM_data_df_0.xlsx"
"875 0 donor 21",2002,9.54,189.171656842643,7.08757934009919,235.659105881712,17.7737961534865,11.472189563829,14.8290200528117,14.78332250946,36.649218833093,266.359615097405,0,0.0133125453705302,"875_SCM_data_df_0.xlsx"
"875 0 donor 21",2003,17.73,189.171656842643,7.08757934009919,235.659105881712,13.0162278359279,11.472189563829,14.8290200528117,12.2838699334628,35.9145885174076,1026.2233526557,0,0.0247412399810797,"875_SCM_data_df_0.xlsx"
"875 0 donor 21",2004,28.98,189.171656842643,7.08757934009919,235.659105881712,12.9710154011286,11.472189563829,14.8290200528117,9.19430458195441,35.9145885174076,960.418497824664,0,0.0404399963142521,"875_SCM_data_df_0.xlsx"
"875 0 donor 21",2005,15.84,189.171656842643,7.08757934009919,235.659105881712,12.9683345244061,11.472189563829,14.8290200528117,6.34268226832356,35.9145885174076,879.178057928008,0,0.0221038489171067,"875_SCM_data_df_0.xlsx"
"875 0 donor 21",2006,17.37,189.171656842643,7.08757934009919,235.659105881712,12.9627092921818,11.472189563829,14.8290200528117,6.19194162394391,35.9145885174076,1144.10263371303,0,0.0242388797784182,"875_SCM_data_df_0.xlsx"
"875 0 donor 21",2007,10.17,189.171656842643,7.08757934009919,235.659105881712,12.8702923813685,11.472189563829,14.8290200528117,5.32470536722494,35.9145885174076,1006.84197442637,0,0.0141916757251878,"875_SCM_data_df_0.xlsx"
"875 0 donor 21",2008,11.88,189.171656842643,7.08757934009919,235.659105881712,12.7834240181676,11.472189563829,14.8290200528117,5.8256938114932,35.9145885174076,1064.57672857919,0,0.01657788668783,"875_SCM_data_df_0.xlsx"
"875 0 donor 21",2009,1.17,189.171656842643,7.08757934009919,235.659105881712,12.7351402976658,11.472189563829,14.8290200528117,5.13166494100701,35.9145885174076,1127.89100567946,0,0.00163267065864993,"875_SCM_data_df_0.xlsx"
"875 0 donor 21",2010,24.48,189.171656842643,7.08757934009919,223.143517258225,12.7341463358462,11.472189563829,14.8290200528117,5.77724633151927,35.9145885174076,1039.00548126084,0,0.0341604937809831,"875_SCM_data_df_0.xlsx"
"875 0 donor 21",2011,6.57,189.171656842643,7.08757934009919,223.143517258225,12.8329757858637,11.472189563829,14.8290200528117,5.82167605148226,35.9145885174076,1097.13556594332,0,0.00916807369857267,"875_SCM_data_df_0.xlsx"
"875 0 donor 21",2012,33.21,189.171656842643,7.08757934009919,160.325858912318,12.1254857845936,11.472189563829,14.8290200528117,7.08726178708365,35.9145885174076,1116.68133174958,0,0.0463427286955249,"875_SCM_data_df_0.xlsx"
"875 0 donor 21",2013,34.83,189.171656842643,7.08757934009919,160.325858912318,12.3995778466057,11.472189563829,14.8290200528117,6.04915520049802,35.9145885174076,1144.48725854606,0,0.0486033496075017,"875_SCM_data_df_0.xlsx"
"875 0 donor 21",2014,17.91,189.171656842643,7.08757934009919,32.6254008718094,12.3915787929502,11.472189563829,14.8290200528117,6.9208349619857,35.9145885174076,1095.2308996833,0,0.0249924200824104,"875_SCM_data_df_0.xlsx"
"875 0 donor 21",2015,22.41,189.171656842643,7.08757934009919,27.4487320365529,12.8838321452848,11.472189563829,14.8290200528117,7.28634713535378,35.9145885174076,985.781612163458,0,0.0312719226156794,"875_SCM_data_df_0.xlsx"
"875 0 donor 21",2016,1.62,189.171656842643,7.08757934009919,8.96520716011507,12.1942926828587,11.472189563829,14.8290200528117,10.4462864199564,35.9145885174076,1101.58697645724,0,0.00226062091197682,"875_SCM_data_df_0.xlsx"
"875 0 donor 21",2017,31.59,189.171656842643,7.08757934009919,6.48544000971469,12.1936100362765,11.472189563829,14.8290200528117,12.0196106169245,35.9145885174076,1088.6053087414,0,0.0440821077835481,"875_SCM_data_df_0.xlsx"
"875 0 donor 21",2018,3.42,189.171656842643,7.08757934009919,6.48544000971469,12.1963190130101,11.472189563829,14.8290200528117,8.61657440877895,35.9145885174076,1100.2019328877,0,0.00477242192528441,"875_SCM_data_df_0.xlsx"
"875 0 donor 21",2019,27.54,189.171656842643,7.08757934009919,11.7586445638929,11.7088027834811,11.472189563829,14.8290200528117,8.2127607395445,35.9145885174076,1124.23800424599,0,0.038430555503606,"875_SCM_data_df_0.xlsx"
