"region","year","deforest_area","DEM","slope","road_dist","water_dist","soil_cec","soil_soc","deforest_hotspot_dist","settlement_cluster_dist","NPP","treated","deforest_rate","source_file"
"904 project area",2001,8.91,79.6008994490402,3.60397601851823,24.6263026447118,7.97596699195376,19.827784182942,16.0113252065731,11.5546454938356,20.1186318122259,778.874457321967,0,0.0139669404632583,"904_SCM_data_df_0.xlsx"
"904 project area",2002,14.94,79.6008994490402,3.60397601851823,24.6263026447118,7.56581265954914,19.827784182942,16.0113252065731,11.5546454938356,20.1186318122259,715.992982312014,0,0.0234193143121301,"904_SCM_data_df_0.xlsx"
"904 project area",2003,131.04,79.6008994490402,3.60397601851823,24.6263026447118,8.71488968305401,19.827784182942,16.0113252065731,6.75060583656176,17.2438611293753,857.163651788705,0,0.205412780954587,"904_SCM_data_df_0.xlsx"
"904 project area",2004,389.79,79.6008994490402,3.60397601851823,24.6263026447118,6.59752700923513,19.827784182942,16.0113252065731,3.15667778760629,17.2438611293753,708.71034105774,0,0.611018375215878,"904_SCM_data_df_0.xlsx"
"904 project area",2005,37.35,79.6008994490402,3.60397601851823,24.6263026447118,5.90539069297345,19.827784182942,16.0113252065731,2.37118355936292,17.2438611293753,694.82579166219,0,0.0585482857803254,"904_SCM_data_df_0.xlsx"
"904 project area",2006,345.06,79.6008994490402,3.60397601851823,24.6263026447118,5.16142633106752,19.827784182942,16.0113252065731,2.36846416244487,17.2438611293753,850.540711121503,0,0.540901512486187,"904_SCM_data_df_0.xlsx"
"904 project area",2007,109.53,79.6008994490402,3.60397601851823,24.6263026447118,5.1068344142073,19.827784182942,16.0113252065731,2.08768808231987,17.2438611293753,727.561143304917,0,0.171694611553388,"904_SCM_data_df_0.xlsx"
"904 project area",2008,78.3,79.6008994490402,3.60397601851823,24.6263026447118,5.34176422441183,19.827784182942,16.0113252065731,2.29993370639647,10.5968195547525,809.300782657053,1,0.122739779828634,"904_SCM_data_df_0.xlsx"
"904 project area",2009,431.37,79.6008994490402,3.60397601851823,24.6263026447118,4.64641556490053,19.827784182942,16.0113252065731,2.16497123503451,10.5968195547525,780.599318769235,1,0.676197430711083,"904_SCM_data_df_0.xlsx"
"904 project area",2010,722.97,79.6008994490402,3.60397601851823,24.1440596081103,4.35332456493049,19.827784182942,16.0113252065731,2.23739764336362,10.5968195547525,683.319838792237,1,1.13329730041772,"904_SCM_data_df_0.xlsx"
"904 project area",2011,215.37,79.6008994490402,3.60397601851823,21.840174811458,4.42700127402796,19.827784182942,16.0113252065731,1.94990170275099,10.5968195547525,836.509817179907,1,0.337604934632093,"904_SCM_data_df_0.xlsx"
"904 project area",2012,415.8,79.6008994490402,3.60397601851823,9.47572779793412,5.15182552439338,19.827784182942,16.0113252065731,1.85134207966144,10.5968195547525,766.723202606118,1,0.651790554952056,"904_SCM_data_df_0.xlsx"
"904 project area",2013,638.1,79.6008994490402,3.60397601851823,8.6122605923284,4.4605888043216,19.827784182942,16.0113252065731,2.08679469386275,8.38797350400263,801.361428309625,1,1.00025866550002,"904_SCM_data_df_0.xlsx"
"904 project area",2014,1102.05,79.6008994490402,3.60397601851823,11.0517664618446,4.23123521268225,19.827784182942,16.0113252065731,2.18125632086583,8.38797350400263,789.981755907054,1,1.72752713103635,"904_SCM_data_df_0.xlsx"
"904 project area",2015,1714.05,79.6008994490402,3.60397601851823,11.0517664618446,3.45535795928472,19.827784182942,16.0113252065731,1.98418863813033,8.38797350400263,708.775097476666,1,2.68687253659349,"904_SCM_data_df_0.xlsx"
"904 project area",2016,1630.44,79.6008994490402,3.60397601851823,11.0527435797978,3.47209705790993,19.827784182942,16.0113252065731,1.32153839191812,8.38797350400263,642.465203832081,1,2.55580902456958,"904_SCM_data_df_0.xlsx"
"904 project area",2017,494.64,79.6008994490402,3.60397601851823,10.5986859820659,2.97565851162629,19.827784182942,16.0113252065731,0.934947012735549,8.38797350400263,856.270372149163,1,0.775376816020887,"904_SCM_data_df_0.xlsx"
"904 project area",2018,1325.07,79.6008994490402,3.60397601851823,8.40193247336446,2.9281898301664,19.827784182942,16.0113252065731,0.916042702011482,4.08181789914681,808.235075169202,1,2.0771238832379,"904_SCM_data_df_0.xlsx"
"904 project area",2019,1775.16,79.6008994490402,3.60397601851823,8.39943898147141,2.74623893227627,19.827784182942,16.0113252065731,1.040918539472,4.08181789914681,724.14260662399,1,2.7826659969425,"904_SCM_data_df_0.xlsx"
"904 project area",2020,1346.04,79.6008994490402,3.60397601851823,8.17212321332558,2.70094518053197,19.827784182942,16.0113252065731,1.28068099002064,4.08181789914681,701.606663485905,1,2.10999557139891,"904_SCM_data_df_0.xlsx"
"904 project area",2021,990.36,79.6008994490402,3.60397601851823,8.17311892451857,2.65360816702381,19.827784182942,16.0113252065731,1.02647212354287,4.08181789914681,679.070720347819,1,1.55244659452217,"904_SCM_data_df_0.xlsx"
"904 project area",2022,404.73,79.6008994490402,3.60397601851823,8.17310488340594,2.65360816702381,19.827784182942,16.0113252065731,1.02860861797925,4.08181789914681,679.070720347819,1,0.634437689528008,"904_SCM_data_df_0.xlsx"
