"region","year","deforest_area","DEM","slope","road_dist","water_dist","soil_cec","soil_soc","deforest_hotspot_dist","settlement_cluster_dist","NPP","treated","deforest_rate","source_file"
"981-2 3 donor 530",2022,540.27,43.4414249793063,3.03408278540453,35.9238346999016,4.30112090354891,10.1584957231139,18.314342536144,1.06126539016175,33.6102203324535,1219.15542957098,0,2.81268858609094,"981-2_SCM_data_df_3.xlsx"
"981-2 4 donor 5",2001,5.76,22.9802004425355,2.3594510998308,219.980904058311,3.60136440452948,11.2778025376561,23.3419431760792,5.29323459065469,38.9169004399323,1152.25061043863,0,0.0299870180759321,"981-2_SCM_data_df_4.xlsx"
"981-2 4 donor 5",2002,2.79,22.9802004425355,2.3594510998308,219.980904058311,3.92403846414161,11.2778025376561,23.3419431760792,5.29323459065469,38.9169004399323,1176.65409865938,0,0.0145249618805296,"981-2_SCM_data_df_4.xlsx"
"981-2 4 donor 5",2003,4.59,22.9802004425355,2.3594510998308,219.980904058311,3.85478944683067,11.2778025376561,23.3419431760792,4.95480366523493,26.0464745646232,1329.13913835741,0,0.0238959050292584,"981-2_SCM_data_df_4.xlsx"
"981-2 4 donor 5",2004,5.04,22.9802004425355,2.3594510998308,219.980904058311,3.80788407653261,11.2778025376561,23.3419431760792,4.34499073799297,26.0464745646232,1284.57888845503,0,0.0262386408164406,"981-2_SCM_data_df_4.xlsx"
"981-2 4 donor 5",2005,2.16,22.9802004425355,2.3594510998308,219.980904058311,3.80736638812964,11.2778025376561,23.3419431760792,5.93143958349603,26.0464745646232,1024.47320057269,0,0.0112451317784745,"981-2_SCM_data_df_4.xlsx"
"981-2 4 donor 5",2006,7.56,22.9802004425355,2.3594510998308,219.980904058311,4.98840372250423,11.2778025376561,23.3419431760792,4.01897232851751,26.0464745646232,1194.22961343225,0,0.0393579612246609,"981-2_SCM_data_df_4.xlsx"
"981-2 4 donor 5",2007,1.98,22.9802004425355,2.3594510998308,219.980904058311,3.89155203956788,11.2778025376561,23.3419431760792,5.16576161395288,26.0464745646232,1257.7421163608,0,0.0103080374636017,"981-2_SCM_data_df_4.xlsx"
"981-2 4 donor 5",2008,8.82,22.9802004425355,2.3594510998308,219.980904058311,3.81609866979045,11.2778025376561,23.3419431760792,4.22874465182871,11.9978708056749,1183.47108160875,0,0.045917621428771,"981-2_SCM_data_df_4.xlsx"
"981-2 4 donor 5",2009,6.48,22.9802004425355,2.3594510998308,219.980904058311,4.99751955225823,11.2778025376561,23.3419431760792,3.69915517376025,11.9978708056749,1069.31357542627,0,0.0337353953354236,"981-2_SCM_data_df_4.xlsx"
"981-2 4 donor 5",2010,11.7,22.9802004425355,2.3594510998308,202.656266073148,3.88589202134583,11.2778025376561,23.3419431760792,3.35523663152414,11.9978708056749,1275.28905375504,0,0.060911130466737,"981-2_SCM_data_df_4.xlsx"
"981-2 4 donor 5",2011,5.31,22.9802004425355,2.3594510998308,65.5288755746453,4.98179242483405,11.2778025376561,23.3419431760792,2.41881544188468,11.9978708056749,1242.98563581934,0,0.0276442822887499,"981-2_SCM_data_df_4.xlsx"
"981-2 4 donor 5",2012,20.16,22.9802004425355,2.3594510998308,65.5288755746453,3.90619467916179,11.2778025376561,23.3419431760792,2.61814098138748,11.9978708056749,1224.35774567226,0,0.104954563265762,"981-2_SCM_data_df_4.xlsx"
"981-2 4 donor 5",2013,50.76,22.9802004425355,2.3594510998308,60.5096824990238,4.69142768710139,11.2778025376561,23.3419431760792,2.33796266041911,11.4425888012495,1268.78507874528,0,0.264260596794151,"981-2_SCM_data_df_4.xlsx"
"981-2 4 donor 5",2014,19.17,22.9802004425355,2.3594510998308,39.1347390862944,3.61144650266823,11.2778025376561,23.3419431760792,2.4723035012365,11.4425888012495,1252.94521410907,0,0.0998005445339615,"981-2_SCM_data_df_4.xlsx"
"981-2 4 donor 5",2015,19.17,22.9802004425355,2.3594510998308,38.9679291995314,3.60648648184303,11.2778025376561,23.3419431760792,2.26052666926982,11.4425888012495,1044.11091500716,0,0.0998005445339615,"981-2_SCM_data_df_4.xlsx"
"981-2 4 donor 5",2016,431.82,22.9802004425355,2.3594510998308,29.3253577612912,3.42834650527138,11.2778025376561,23.3419431760792,2.2455131433034,11.4425888012495,1161.26630743199,0,2.24808926138003,"981-2_SCM_data_df_4.xlsx"
"981-2 4 donor 5",2017,56.97,22.9802004425355,2.3594510998308,29.3253577612912,3.22209426005467,11.2778025376561,23.3419431760792,1.59536907978654,11.4425888012495,1157.61988285826,0,0.296590350657266,"981-2_SCM_data_df_4.xlsx"
"981-2 4 donor 5",2018,27.54,22.9802004425355,2.3594510998308,29.3253577612912,3.64276462319406,11.2778025376561,23.3419431760792,1.43184895483535,11.4425888012495,1336.69601457764,0,0.14337543017555,"981-2_SCM_data_df_4.xlsx"
"981-2 4 donor 5",2019,18.36,22.9802004425355,2.3594510998308,29.3253577612912,4.82564809579591,11.2778025376561,23.3419431760792,1.50816515423663,11.4425888012495,1241.5600416504,0,0.0955836201170335,"981-2_SCM_data_df_4.xlsx"
"981-2 4 donor 5",2020,16.38,22.9802004425355,2.3594510998308,29.3253577612912,4.8216096472732,11.2778025376561,23.3419431760792,2.04099109202135,11.4425888012495,1150.6041650397,0,0.0852755826534319,"981-2_SCM_data_df_4.xlsx"
"981-2 4 donor 5",2021,16.38,22.9802004425355,2.3594510998308,29.3253577612912,4.85282660419107,11.2778025376561,23.3419431760792,2.43956947546531,11.4425888012495,1266.38409475465,0,0.0852755826534319,"981-2_SCM_data_df_4.xlsx"
"981-2 4 donor 5",2022,15.66,22.9802004425355,2.3594510998308,29.3253577612912,4.85282660419107,11.2778025376561,23.3419431760792,2.54127194585448,11.4425888012495,1266.38409475465,0,0.0815272053939404,"981-2_SCM_data_df_4.xlsx"
"981-2 4 donor 342",2001,32.22,44.5235516772793,3.01083673926286,252.532935158044,4.70606180655709,10.1497209321699,18.0922678426391,3.34603339980319,39.4839320237209,1323.33669500747,0,0.167739882362245,"981-2_SCM_data_df_4.xlsx"
