"region","year","deforest_area","DEM","slope","road_dist","water_dist","soil_cec","soil_soc","deforest_hotspot_dist","settlement_cluster_dist","NPP","treated","deforest_rate","source_file"
"2510-1 project area",2001,14.67,587.119174472772,5.16026852329032,78.7298739002402,25.4725922834079,13.3005074664589,20.2383967041022,21.2826022338766,57.6613595658896,323.26176389352,0,0.00617660892272023,"2510-1_SCM_data_df_0.xlsx"
"2510-1 project area",2002,17.28,587.119174472772,5.16026852329032,78.7298739002402,21.7548552998993,13.3005074664589,20.2383967041022,21.2826022338766,57.6613595658896,271.568468891786,0,0.00727551480467659,"2510-1_SCM_data_df_0.xlsx"
"2510-1 project area",2003,9.45,587.119174472772,5.16026852329032,78.7298739002402,22.8517893778862,13.3005074664589,20.2383967041022,18.2394218757894,57.6613595658896,472.207075261972,0,0.00397879715880751,"2510-1_SCM_data_df_0.xlsx"
"2510-1 project area",2004,32.4,587.119174472772,5.16026852329032,78.7298739002402,25.1313897229717,13.3005074664589,20.2383967041022,17.4578277536942,57.6613595658896,340.036124500224,0,0.0136415902587686,"2510-1_SCM_data_df_0.xlsx"
"2510-1 project area",2005,36.27,587.119174472772,5.16026852329032,78.7298739002402,23.7989033903929,13.3005074664589,20.2383967041022,13.4296344591135,57.6613595658896,364.277262002203,0,0.015271002428566,"2510-1_SCM_data_df_0.xlsx"
"2510-1 project area",2006,12.6,587.119174472772,5.16026852329032,78.7298739002402,25.7337806033858,13.3005074664589,20.2383967041022,13.1823444105085,57.6613595658896,344.222366639383,0,0.00530506287841002,"2510-1_SCM_data_df_0.xlsx"
"2510-1 project area",2007,16.56,587.119174472772,5.16026852329032,78.7298739002402,21.4137951465729,13.3005074664589,20.2383967041022,13.1970863745145,57.6613595658896,492.007573690646,0,0.00697236835448173,"2510-1_SCM_data_df_0.xlsx"
"2510-1 project area",2008,12.24,587.119174472772,5.16026852329032,78.7298739002402,22.3246542657377,13.3005074664589,20.2383967041022,17.321991943796,57.6613595658896,375.450805536188,0,0.00515348965331259,"2510-1_SCM_data_df_0.xlsx"
"2510-1 project area",2009,146.34,587.119174472772,5.16026852329032,78.7298739002402,25.0786835912632,13.3005074664589,20.2383967041022,16.7771609758727,57.6613595658896,338.145263874994,0,0.0616145160021049,"2510-1_SCM_data_df_0.xlsx"
"2510-1 project area",2010,11.52,587.119174472772,5.16026852329032,78.7298739002402,25.2012832180522,13.3005074664589,20.2383967041022,14.3178574038426,57.6613595658896,700.499951580252,0,0.00485034320311773,"2510-1_SCM_data_df_0.xlsx"
"2510-1 project area",2011,70.38,587.119174472772,5.16026852329032,78.7298739002402,24.5129309900702,13.3005074664589,20.2383967041022,14.3100539644405,57.6613595658896,654.206092551611,0,0.0296325655065474,"2510-1_SCM_data_df_0.xlsx"
"2510-1 project area",2012,41.4,587.119174472772,5.16026852329032,78.7298739002402,25.0524489310604,13.3005074664589,20.2383967041022,14.0125636083912,57.6613595658896,699.593055176618,0,0.0174309208862043,"2510-1_SCM_data_df_0.xlsx"
"2510-1 project area",2013,4.86,587.119174472772,5.16026852329032,78.7268104025828,21.6796391162512,13.3005074664589,20.2383967041022,15.3812960509696,57.6613595658896,785.107609310739,0,0.00204623853881529,"2510-1_SCM_data_df_0.xlsx"
"2510-1 project area",2014,20.25,587.119174472772,5.16026852329032,23.0988571819538,23.5191989428495,13.3005074664589,20.2383967041022,14.4786053929494,57.6613595658896,876.502656770512,0,0.00852599391173038,"2510-1_SCM_data_df_0.xlsx"
"2510-1 project area",2015,0.36,587.119174472772,5.16026852329032,23.0988571819538,22.7834264815601,13.3005074664589,20.2383967041022,22.7125477949226,57.6613595658896,751.818568257529,0,0.000151573225097429,"2510-1_SCM_data_df_0.xlsx"
"2510-1 project area",2016,2.7,587.119174472772,5.16026852329032,20.1694873035,20.855324987453,13.3005074664589,20.2383967041022,24.2912538963161,57.6613595658896,604.803280248448,1,0.00113679918823072,"2510-1_SCM_data_df_0.xlsx"
"2510-1 project area",2017,46.44,587.119174472772,5.16026852329032,19.462294566378,21.9941983550759,13.3005074664589,20.2383967041022,21.0006170040049,57.6613595658896,597.820347999043,1,0.0195529460375683,"2510-1_SCM_data_df_0.xlsx"
"2510-1 project area",2018,0.81,587.119174472772,5.16026852329032,19.7909797188623,22.8300540238074,13.3005074664589,20.2383967041022,9.76401597388533,57.6613595658896,926.037044896474,1,0.000341039756469215,"2510-1_SCM_data_df_0.xlsx"
"2510-1 project area",2019,14.67,587.119174472772,5.16026852329032,19.3831445228423,16.4652214222438,13.3005074664589,20.2383967041022,8.5046616718539,57.6613595658896,630.7018050882,1,0.00617660892272023,"2510-1_SCM_data_df_0.xlsx"
"2510-1 project area",2020,1.08,587.119174472772,5.16026852329032,19.9612037380887,16.5030268590657,13.3005074664589,20.2383967041022,8.2660356205138,57.6613595658896,645.423511955888,1,0.000454719675292287,"2510-1_SCM_data_df_0.xlsx"
"2510-1 project area",2021,24.39,587.119174472772,5.16026852329032,19.9612037380887,22.4388877714453,13.3005074664589,20.2383967041022,16.4593470251749,57.6613595658896,738.922174307724,1,0.0102690860003508,"2510-1_SCM_data_df_0.xlsx"
"2510-1 project area",2022,0.99,587.119174472772,5.16026852329032,19.9612037380887,22.4388877714453,13.3005074664589,20.2383967041022,9.7689093018125,57.6613595658896,738.922174307724,1,0.00041682636901793,"2510-1_SCM_data_df_0.xlsx"
"2510-1 0 donor 263",2001,14.67,618.390993166216,4.17093055091777,90.1303814459123,30.1540972154088,14.4534521608383,20.8880133485469,16.8404451577152,43.7892576225809,221.048977206263,0,0.00617660892272023,"2510-1_SCM_data_df_0.xlsx"
"2510-1 0 donor 263",2002,12.24,618.390993166216,4.17093055091777,90.1303814459123,30.1822466705884,14.4534521608383,20.8880133485469,16.8404451577152,43.7892576225809,268.48576165173,0,0.00515348965331259,"2510-1_SCM_data_df_0.xlsx"
"2510-1 0 donor 263",2003,11.34,618.390993166216,4.17093055091777,90.1303814459123,30.1615450415379,14.4534521608383,20.8880133485469,15.4634282376889,32.1770047393086,385.693516853284,0,0.00477455659056901,"2510-1_SCM_data_df_0.xlsx"
