"","system:index","ID","treecover_2000","treated","accessibility","accessibility_walking_only","aspect","elevation","hillshade","slope","year","loss","cum_loss","treecover_remaining"
"1","1_0",1,125957441.370434,0,170.021155881473,428.698864393015,83.4313122773688,8.51161097124068,180.1232935504,0.463455698429584,1,50983.1745147705,50983.1745147705,125906458.195919
"2","1_0",1,125957441.370434,0,170.021155881473,428.698864393015,83.4313122773688,8.51161097124068,180.1232935504,0.463455698429584,2,1779.00121826172,52762.1757330322,125904679.194701
"3","1_0",1,125957441.370434,0,170.021155881473,428.698864393015,83.4313122773688,8.51161097124068,180.1232935504,0.463455698429584,3,85436.8253643799,138199.001097412,125819242.369336
"4","1_0",1,125957441.370434,0,170.021155881473,428.698864393015,83.4313122773688,8.51161097124068,180.1232935504,0.463455698429584,4,47103.3438604736,185302.344957886,125772139.025476
"5","1_0",1,125957441.370434,0,170.021155881473,428.698864393015,83.4313122773688,8.51161097124068,180.1232935504,0.463455698429584,5,12497.7221289063,197800.067086792,125759641.303347
"6","1_0",1,125957441.370434,0,170.021155881473,428.698864393015,83.4313122773688,8.51161097124068,180.1232935504,0.463455698429584,6,24879.2096691895,222679.276755981,125734762.093678
"7","1_0",1,125957441.370434,0,170.021155881473,428.698864393015,83.4313122773688,8.51161097124068,180.1232935504,0.463455698429584,7,6168.39866333008,228847.675419312,125728593.695014
"8","1_0",1,125957441.370434,0,170.021155881473,428.698864393015,83.4313122773688,8.51161097124068,180.1232935504,0.463455698429584,8,22196.9568943398,251044.632313651,125706396.73812
"9","1_0",1,125957441.370434,0,170.021155881473,428.698864393015,83.4313122773688,8.51161097124068,180.1232935504,0.463455698429584,9,166502.274437866,417546.906751517,125539894.463682
"10","1_0",1,125957441.370434,0,170.021155881473,428.698864393015,83.4313122773688,8.51161097124068,180.1232935504,0.463455698429584,10,6195.22226501465,423742.129016532,125533699.241417
"11","1_0",1,125957441.370434,0,170.021155881473,428.698864393015,83.4313122773688,8.51161097124068,180.1232935504,0.463455698429584,11,30842.0326611328,454584.161677665,125502857.208756
"12","1_0",1,125957441.370434,0,170.021155881473,428.698864393015,83.4313122773688,8.51161097124068,180.1232935504,0.463455698429584,12,47040.7654315186,501624.927109184,125455816.443324
"13","1_0",1,125957441.370434,0,170.021155881473,428.698864393015,83.4313122773688,8.51161097124068,180.1232935504,0.463455698429584,13,68817.9110540772,570442.838163261,125386998.53227
"14","1_0",1,125957441.370434,0,170.021155881473,428.698864393015,83.4313122773688,8.51161097124068,180.1232935504,0.463455698429584,14,162666.002179637,733108.840342898,125224332.530091
"15","1_0",1,125957441.370434,0,170.021155881473,428.698864393015,83.4313122773688,8.51161097124068,180.1232935504,0.463455698429584,15,101027.695758057,834136.536100954,125123304.834333
"16","1_0",1,125957441.370434,0,170.021155881473,428.698864393015,83.4313122773688,8.51161097124068,180.1232935504,0.463455698429584,16,154603.256647339,988739.792748293,124968701.577685
"17","1_0",1,125957441.370434,0,170.021155881473,428.698864393015,83.4313122773688,8.51161097124068,180.1232935504,0.463455698429584,17,139951.301044312,1128691.0937926,124828750.276641
"18","1_0",1,125957441.370434,0,170.021155881473,428.698864393015,83.4313122773688,8.51161097124068,180.1232935504,0.463455698429584,18,110351.846755371,1239042.94054798,124718398.429886
"19","1_0",1,125957441.370434,0,170.021155881473,428.698864393015,83.4313122773688,8.51161097124068,180.1232935504,0.463455698429584,19,187465.815131836,1426508.75567981,124530932.614754
"20","1_0",1,125957441.370434,0,170.021155881473,428.698864393015,83.4313122773688,8.51161097124068,180.1232935504,0.463455698429584,20,53692.2949880323,1480201.05066784,124477240.319766
"21","1_0",1,125957441.370434,0,170.021155881473,428.698864393015,83.4313122773688,8.51161097124068,180.1232935504,0.463455698429584,21,23100.2251141357,1503301.27578198,124454140.094652
"22","1_0",1,125957441.370434,0,170.021155881473,428.698864393015,83.4313122773688,8.51161097124068,180.1232935504,0.463455698429584,22,7250.11731323242,1510551.39309521,124446889.977338
"23","1_1",2,232071568.632486,0,3125.41048248532,10108.0253651698,171.513351436609,381.973894176676,180.288233442497,2.6876899823386,1,155075.014927136,155075.014927136,231916493.617559
"24","1_1",2,232071568.632486,0,3125.41048248532,10108.0253651698,171.513351436609,381.973894176676,180.288233442497,2.6876899823386,2,557124.49834172,712199.513268856,231359369.119217
"25","1_1",2,232071568.632486,0,3125.41048248532,10108.0253651698,171.513351436609,381.973894176676,180.288233442497,2.6876899823386,3,223162.158669434,935361.67193829,231136206.960547
"26","1_1",2,232071568.632486,0,3125.41048248532,10108.0253651698,171.513351436609,381.973894176676,180.288233442497,2.6876899823386,4,144972.022268677,1080333.69420697,230991234.938279
"27","1_1",2,232071568.632486,0,3125.41048248532,10108.0253651698,171.513351436609,381.973894176676,180.288233442497,2.6876899823386,5,21305.0195452881,1101638.71375225,230969929.918734
"28","1_1",2,232071568.632486,0,3125.41048248532,10108.0253651698,171.513351436609,381.973894176676,180.288233442497,2.6876899823386,6,81459.0527392578,1183097.76649151,230888470.865994
"29","1_1",2,232071568.632486,0,3125.41048248532,10108.0253651698,171.513351436609,381.973894176676,180.288233442497,2.6876899823386,7,122263.3290448,1305361.09553631,230766207.536949
"30","1_1",2,232071568.632486,0,3125.41048248532,10108.0253651698,171.513351436609,381.973894176676,180.288233442497,2.6876899823386,8,209227.345636597,1514588.44117291,230556980.191313
"31","1_1",2,232071568.632486,0,3125.41048248532,10108.0253651698,171.513351436609,381.973894176676,180.288233442497,2.6876899823386,9,852066.993349103,2366655.43452201,229704913.197964
