system:index,ID,distance_1,distance_10,distance_11,distance_12,distance_13,distance_14,distance_15,distance_16,distance_17,distance_18,distance_19,distance_2,distance_20,distance_21,distance_22,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,treated,.geo
1_0,1.0,274.96363395911106,74.73285756613352,74.73285756613352,74.73285756613352,74.73285756613352,74.73285756613352,74.73285756613352,74.73285756613352,72.00694410957877,72.00694410957877,72.00694410957877,96.17692030835673,72.00694410957877,72.00694410957877,72.00694410957877,96.17692030835673,96.17692030835673,74.73285756613352,74.73285756613352,74.73285756613352,74.73285756613352,74.73285756613352,1,"{""type"":""Point"",""coordinates"":[-61.279499418018354,-11.054159404056932]}"
1_1,2.0,64.28841264178172,29.068883707497267,29.068883707497267,29.068883707497267,29.068883707497267,25.632011235952593,25.632011235952593,25.632011235952593,25.632011235952593,25.632011235952593,25.632011235952593,46.52956049652737,25.632011235952593,25.632011235952593,25.632011235952593,46.52956049652737,29.068883707497267,29.068883707497267,29.068883707497267,29.068883707497267,29.068883707497267,29.068883707497267,1,"{""type"":""Point"",""coordinates"":[-61.105047232365536,-11.176010018191219]}"
1_2,3.0,69.85699678629192,35.05709628591621,35.05709628591621,34.20526275297414,30.0,30.0,30.0,17.46424919657298,7.0710678118654755,7.0710678118654755,7.0710678118654755,52.172789842982326,5.656854249492381,5.0,5.0,36.6742416417845,36.6742416417845,35.05709628591621,35.05709628591621,35.05709628591621,35.05709628591621,35.05709628591621,1,"{""type"":""Point"",""coordinates"":[-61.28011610366371,-11.221995939497935]}"
1_3,4.0,70.77428911688199,57.48912940721924,57.48912940721924,57.48912940721924,57.48912940721924,45.617978911828175,43.266615305567875,43.266615305567875,43.266615305567875,43.266615305567875,43.04648650006177,70.77428911688199,37.48332962798263,24.596747752497688,24.596747752497688,70.77428911688199,70.77428911688199,68.41052550594829,57.48912940721924,57.48912940721924,57.48912940721924,57.48912940721924,1,"{""type"":""Point"",""coordinates"":[-61.390309001443846,-11.088299141302054]}"
1_4,5.0,116.36150566231085,57.55866572463264,57.55866572463264,57.55866572463264,57.55866572463264,57.55866572463264,57.55866572463264,57.55866572463264,57.55866572463264,57.55866572463264,57.55866572463264,90.21086409075129,57.55866572463264,57.55866572463264,57.55866572463264,90.21086409075129,84.05950273467003,57.55866572463264,57.55866572463264,57.55866572463264,57.55866572463264,57.55866572463264,1,"{""type"":""Point"",""coordinates"":[-61.08160886258409,-11.131071105093742]}"
1_5,6.0,234.43762496664223,50.91168824543142,50.91168824543142,50.91168824543142,50.91168824543142,50.91168824543142,50.91168824543142,50.91168824543142,50.91168824543142,50.91168824543142,50.91168824543142,161.24515496597098,50.91168824543142,50.91168824543142,50.91168824543142,161.24515496597098,161.24515496597098,76.2954782408499,76.2954782408499,76.2954782408499,50.91168824543142,50.91168824543142,1,"{""type"":""Point"",""coordinates"":[-61.045965378807594,-11.041705683790461]}"
1_6,7.0,29.427877939124322,29.427877939124322,29.427877939124322,19.4164878389476,19.4164878389476,19.4164878389476,19.4164878389476,19.4164878389476,19.4164878389476,19.4164878389476,19.4164878389476,29.427877939124322,19.4164878389476,19.4164878389476,19.4164878389476,29.427877939124322,29.427877939124322,29.427877939124322,29.427877939124322,29.427877939124322,29.427877939124322,29.427877939124322,1,"{""type"":""Point"",""coordinates"":[-61.18331165213705,-10.911813489778492]}"
1_7,8.0,33.97057550292606,33.97057550292606,33.97057550292606,33.97057550292606,33.97057550292606,33.97057550292606,33.97057550292606,33.97057550292606,33.97057550292606,33.97057550292606,33.97057550292606,33.97057550292606,33.97057550292606,33.97057550292606,33.97057550292606,33.97057550292606,33.97057550292606,33.97057550292606,33.97057550292606,33.97057550292606,33.97057550292606,33.97057550292606,1,"{""type"":""Point"",""coordinates"":[-61.11215321894197,-10.786739858477242]}"
1_8,9.0,228.98034850178738,72.18032973047436,72.18032973047436,72.18032973047436,72.18032973047436,72.18032973047436,72.18032973047436,72.18032973047436,49.01020301937138,49.01020301937138,49.01020301937138,72.18032973047436,25.495097567963924,25.495097567963924,25.495097567963924,72.18032973047436,72.18032973047436,72.18032973047436,72.18032973047436,72.18032973047436,72.18032973047436,72.18032973047436,1,"{""type"":""Point"",""coordinates"":[-61.36649275506158,-11.02479902109983]}"
1_9,10.0,64.00781202322104,53.14132102234569,33.24154027718932,25.317977802344327,25.317977802344327,25.317977802344327,25.317977802344327,25.317977802344327,25.317977802344327,25.317977802344327,25.317977802344327,64.00781202322104,25.317977802344327,25.317977802344327,25.317977802344327,64.00781202322104,64.00781202322104,53.14132102234569,53.14132102234569,53.14132102234569,53.14132102234569,53.14132102234569,1,"{""type"":""Point"",""coordinates"":[-61.19929520612265,-10.895395568910176]}"
1_10,11.0,343.6655350773481,72.34638899074369,72.34638899074369,72.34638899074369,72.34638899074369,72.34638899074369,72.34638899074369,72.34638899074369,72.34638899074369,72.34638899074369,72.34638899074369,90.60905032059435,72.34638899074369,72.34638899074369,72.34638899074369,90.60905032059435,90.60905032059435,72.34638899074369,72.34638899074369,72.34638899074369,72.34638899074369,72.34638899074369,1,"{""type"":""Point"",""coordinates"":[-61.27459019124908,-11.045856312685043]}"
