"","system:index","ID","treecover_2000","treated","accessibility","accessibility_walking_only","aspect","elevation","hillshade","slope","year","loss","cum_loss","treecover_remaining"
"1","1_0",1,223258391.199437,0,532.012922872304,1310.4238014753,179.913060051313,300.403693856981,180.153368321298,2.56057544130074,1,201464.939767461,201464.939767461,223056926.25967
"2","1_0",1,223258391.199437,0,532.012922872304,1310.4238014753,179.913060051313,300.403693856981,180.153368321298,2.56057544130074,2,18525.2295794821,219990.169346943,223038401.03009
"3","1_0",1,223258391.199437,0,532.012922872304,1310.4238014753,179.913060051313,300.403693856981,180.153368321298,2.56057544130074,3,222233.776749878,442223.946096821,222816167.25334
"4","1_0",1,223258391.199437,0,532.012922872304,1310.4238014753,179.913060051313,300.403693856981,180.153368321298,2.56057544130074,4,338257.291599461,780481.237696282,222477909.961741
"5","1_0",1,223258391.199437,0,532.012922872304,1310.4238014753,179.913060051313,300.403693856981,180.153368321298,2.56057544130074,5,136922.074341778,917403.312038059,222340987.887399
"6","1_0",1,223258391.199437,0,532.012922872304,1310.4238014753,179.913060051313,300.403693856981,180.153368321298,2.56057544130074,6,321287.098068036,1238690.4101061,222019700.789331
"7","1_0",1,223258391.199437,0,532.012922872304,1310.4238014753,179.913060051313,300.403693856981,180.153368321298,2.56057544130074,7,151715.548519287,1390405.95862538,221867985.240812
"8","1_0",1,223258391.199437,0,532.012922872304,1310.4238014753,179.913060051313,300.403693856981,180.153368321298,2.56057544130074,8,259021.090520539,1649427.04914592,221608964.150291
"9","1_0",1,223258391.199437,0,532.012922872304,1310.4238014753,179.913060051313,300.403693856981,180.153368321298,2.56057544130074,9,306844.560280295,1956271.60942622,221302119.590011
"10","1_0",1,223258391.199437,0,532.012922872304,1310.4238014753,179.913060051313,300.403693856981,180.153368321298,2.56057544130074,10,193024.407629689,2149296.01705591,221109095.182381
"11","1_0",1,223258391.199437,0,532.012922872304,1310.4238014753,179.913060051313,300.403693856981,180.153368321298,2.56057544130074,11,147564.593664718,2296860.61072062,220961530.588717
"12","1_0",1,223258391.199437,0,532.012922872304,1310.4238014753,179.913060051313,300.403693856981,180.153368321298,2.56057544130074,12,1043913.73855443,3340774.34927506,219917616.850162
"13","1_0",1,223258391.199437,0,532.012922872304,1310.4238014753,179.913060051313,300.403693856981,180.153368321298,2.56057544130074,13,2013064.43705437,5353838.78632943,217904552.413108
"14","1_0",1,223258391.199437,0,532.012922872304,1310.4238014753,179.913060051313,300.403693856981,180.153368321298,2.56057544130074,14,1558253.59123278,6912092.3775622,216346298.821875
"15","1_0",1,223258391.199437,0,532.012922872304,1310.4238014753,179.913060051313,300.403693856981,180.153368321298,2.56057544130074,15,1118355.61163758,8030447.98919979,215227943.210237
"16","1_0",1,223258391.199437,0,532.012922872304,1310.4238014753,179.913060051313,300.403693856981,180.153368321298,2.56057544130074,16,956666.974485443,8987114.96368523,214271276.235752
"17","1_0",1,223258391.199437,0,532.012922872304,1310.4238014753,179.913060051313,300.403693856981,180.153368321298,2.56057544130074,17,1073937.24881451,10061052.2124997,213197338.986937
"18","1_0",1,223258391.199437,0,532.012922872304,1310.4238014753,179.913060051313,300.403693856981,180.153368321298,2.56057544130074,18,640214.719148165,10701266.9316479,212557124.267789
"19","1_0",1,223258391.199437,0,532.012922872304,1310.4238014753,179.913060051313,300.403693856981,180.153368321298,2.56057544130074,19,402832.042496621,11104098.9741445,212154292.225293
"20","1_0",1,223258391.199437,0,532.012922872304,1310.4238014753,179.913060051313,300.403693856981,180.153368321298,2.56057544130074,20,667805.553790523,11771904.527935,211486486.671502
"21","1_0",1,223258391.199437,0,532.012922872304,1310.4238014753,179.913060051313,300.403693856981,180.153368321298,2.56057544130074,21,960636.862068898,12732541.3900039,210525849.809433
"22","1_0",1,223258391.199437,0,532.012922872304,1310.4238014753,179.913060051313,300.403693856981,180.153368321298,2.56057544130074,22,767722.964259507,13500264.3542635,209758126.845174
"23","1_1",2,221457200.478747,0,459.223561620455,1485.61684320099,168.201089892444,130.661714360495,180.077759504634,1.47813863214837,1,0,0,221457200.478747
"24","1_1",2,221457200.478747,0,459.223561620455,1485.61684320099,168.201089892444,130.661714360495,180.077759504634,1.47813863214837,2,2669.97241210938,2669.97241210938,221454530.506335
"25","1_1",2,221457200.478747,0,459.223561620455,1485.61684320099,168.201089892444,130.661714360495,180.077759504634,1.47813863214837,3,0,2669.97241210938,221454530.506335
"26","1_1",2,221457200.478747,0,459.223561620455,1485.61684320099,168.201089892444,130.661714360495,180.077759504634,1.47813863214837,4,0,2669.97241210938,221454530.506335
"27","1_1",2,221457200.478747,0,459.223561620455,1485.61684320099,168.201089892444,130.661714360495,180.077759504634,1.47813863214837,5,0,2669.97241210938,221454530.506335
"28","1_1",2,221457200.478747,0,459.223561620455,1485.61684320099,168.201089892444,130.661714360495,180.077759504634,1.47813863214837,6,13251.7569360352,15921.7293481445,221441278.749399
"29","1_1",2,221457200.478747,0,459.223561620455,1485.61684320099,168.201089892444,130.661714360495,180.077759504634,1.47813863214837,7,25738.0391967773,41659.7685449219,221415540.710202
"30","1_1",2,221457200.478747,0,459.223561620455,1485.61684320099,168.201089892444,130.661714360495,180.077759504634,1.47813863214837,8,6230.36071777344,47890.1292626953,221409310.349485
"31","1_1",2,221457200.478747,0,459.223561620455,1485.61684320099,168.201089892444,130.661714360495,180.077759504634,1.47813863214837,9,13331.8124499512,61221.9417126465,221395978.537035
"32","1_1",2,221457200.478747,0,459.223561620455,1485.61684320099,168.201089892444,130.661714360495,180.077759504634,1.47813863214837,10,863.303966674805,62085.2456793213,221395115.233068
"33","1_1",2,221457200.478747,0,459.223561620455,1485.61684320099,168.201089892444,130.661714360495,180.077759504634,1.47813863214837,11,0,62085.2456793213,221395115.233068
"34","1_1",2,221457200.478747,0,459.223561620455,1485.61684320099,168.201089892444,130.661714360495,180.077759504634,1.47813863214837,12,5339.81988525391,67425.0655645752,221389775.413183
"35","1_1",2,221457200.478747,0,459.223561620455,1485.61684320099,168.201089892444,130.661714360495,180.077759504634,1.47813863214837,13,6229.67327880859,73654.7388433838,221383545.739904
"36","1_1",2,221457200.478747,0,459.223561620455,1485.61684320099,168.201089892444,130.661714360495,180.077759504634,1.47813863214837,14,11562.1217034912,85216.860546875,221371983.618201
"37","1_1",2,221457200.478747,0,459.223561620455,1485.61684320099,168.201089892444,130.661714360495,180.077759504634,1.47813863214837,15,4441.61020324707,89658.4707501221,221367542.007997
"38","1_1",2,221457200.478747,0,459.223561620455,1485.61684320099,168.201089892444,130.661714360495,180.077759504634,1.47813863214837,16,0,89658.4707501221,221367542.007997
"39","1_1",2,221457200.478747,0,459.223561620455,1485.61684320099,168.201089892444,130.661714360495,180.077759504634,1.47813863214837,17,153779.183439941,243437.654190063,221213762.824557
"40","1_1",2,221457200.478747,0,459.223561620455,1485.61684320099,168.201089892444,130.661714360495,180.077759504634,1.47813863214837,18,881.183325805664,244318.837515869,221212881.641232
"41","1_1",2,221457200.478747,0,459.223561620455,1485.61684320099,168.201089892444,130.661714360495,180.077759504634,1.47813863214837,19,31124.1585906982,275442.996106567,221181757.482641
"42","1_1",2,221457200.478747,0,459.223561620455,1485.61684320099,168.201089892444,130.661714360495,180.077759504634,1.47813863214837,20,0,275442.996106567,221181757.482641
"43","1_1",2,221457200.478747,0,459.223561620455,1485.61684320099,168.201089892444,130.661714360495,180.077759504634,1.47813863214837,21,1780.23547363281,277223.2315802,221179977.247167
"44","1_1",2,221457200.478747,0,459.223561620455,1485.61684320099,168.201089892444,130.661714360495,180.077759504634,1.47813863214837,22,0,277223.2315802,221179977.247167
"45","1_2",3,223945939.91889,0,2019.74960724198,2729.8127107691,170.406044335292,202.811013096533,180.237127817019,2.06847577609,1,54833.6360839844,54833.6360839844,223891106.282806
"46","1_2",3,223945939.91889,0,2019.74960724198,2729.8127107691,170.406044335292,202.811013096533,180.237127817019,2.06847577609,2,55115.429348324,109949.065432308,223835990.853458
"47","1_2",3,223945939.91889,0,2019.74960724198,2729.8127107691,170.406044335292,202.811013096533,180.237127817019,2.06847577609,3,3539.19677734375,113488.262209652,223832451.65668
"48","1_2",3,223945939.91889,0,2019.74960724198,2729.8127107691,170.406044335292,202.811013096533,180.237127817019,2.06847577609,4,31844.574465332,145332.836674984,223800607.082215
"49","1_2",3,223945939.91889,0,2019.74960724198,2729.8127107691,170.406044335292,202.811013096533,180.237127817019,2.06847577609,5,7955.24417724609,153288.08085223,223792651.838038
"50","1_2",3,223945939.91889,0,2019.74960724198,2729.8127107691,170.406044335292,202.811013096533,180.237127817019,2.06847577609,6,23844.013571167,177132.094423397,223768807.824466
"51","1_2",3,223945939.91889,0,2019.74960724198,2729.8127107691,170.406044335292,202.811013096533,180.237127817019,2.06847577609,7,27411.4754730225,204543.56989642,223741396.348993
"52","1_2",3,223945939.91889,0,2019.74960724198,2729.8127107691,170.406044335292,202.811013096533,180.237127817019,2.06847577609,8,0,204543.56989642,223741396.348993
"53","1_2",3,223945939.91889,0,2019.74960724198,2729.8127107691,170.406044335292,202.811013096533,180.237127817019,2.06847577609,9,6193.75402832031,210737.32392474,223735202.594965
"54","1_2",3,223945939.91889,0,2019.74960724198,2729.8127107691,170.406044335292,202.811013096533,180.237127817019,2.06847577609,10,22007.6758065616,232744.999731302,223713194.919159
"55","1_2",3,223945939.91889,0,2019.74960724198,2729.8127107691,170.406044335292,202.811013096533,180.237127817019,2.06847577609,11,32721.1907128906,265466.190444192,223680473.728446
"56","1_2",3,223945939.91889,0,2019.74960724198,2729.8127107691,170.406044335292,202.811013096533,180.237127817019,2.06847577609,12,59166.5533184814,324632.743762674,223621307.175127
"57","1_2",3,223945939.91889,0,2019.74960724198,2729.8127107691,170.406044335292,202.811013096533,180.237127817019,2.06847577609,13,6131.42663879395,330764.170401468,223615175.748488
"58","1_2",3,223945939.91889,0,2019.74960724198,2729.8127107691,170.406044335292,202.811013096533,180.237127817019,2.06847577609,14,31612.9390808105,362377.109482278,223583562.809408
"59","1_2",3,223945939.91889,0,2019.74960724198,2729.8127107691,170.406044335292,202.811013096533,180.237127817019,2.06847577609,15,4415.18331176758,366792.292794046,223579147.626096
"60","1_2",3,223945939.91889,0,2019.74960724198,2729.8127107691,170.406044335292,202.811013096533,180.237127817019,2.06847577609,16,0,366792.292794046,223579147.626096
"61","1_2",3,223945939.91889,0,2019.74960724198,2729.8127107691,170.406044335292,202.811013096533,180.237127817019,2.06847577609,17,6157.74370788574,372950.036501932,223572989.882388
"62","1_2",3,223945939.91889,0,2019.74960724198,2729.8127107691,170.406044335292,202.811013096533,180.237127817019,2.06847577609,18,0,372950.036501932,223572989.882388
"63","1_2",3,223945939.91889,0,2019.74960724198,2729.8127107691,170.406044335292,202.811013096533,180.237127817019,2.06847577609,19,0,372950.036501932,223572989.882388
"64","1_2",3,223945939.91889,0,2019.74960724198,2729.8127107691,170.406044335292,202.811013096533,180.237127817019,2.06847577609,20,0,372950.036501932,223572989.882388
"65","1_2",3,223945939.91889,0,2019.74960724198,2729.8127107691,170.406044335292,202.811013096533,180.237127817019,2.06847577609,21,0,372950.036501932,223572989.882388
"66","1_2",3,223945939.91889,0,2019.74960724198,2729.8127107691,170.406044335292,202.811013096533,180.237127817019,2.06847577609,22,0,372950.036501932,223572989.882388
"67","1_3",4,209710153.060945,0,1829.064030225,2261.90289403958,184.788866266377,1734.78186510722,178.669406028051,21.2088398885655,1,11400.9353223374,11400.9353223374,209698752.125623
"68","1_3",4,209710153.060945,0,1829.064030225,2261.90289403958,184.788866266377,1734.78186510722,178.669406028051,21.2088398885655,2,33587.4947314453,44988.4300537828,209665164.630891
"69","1_3",4,209710153.060945,0,1829.064030225,2261.90289403958,184.788866266377,1734.78186510722,178.669406028051,21.2088398885655,3,3496.76507568359,48485.1951294663,209661667.865816
"70","1_3",4,209710153.060945,0,1829.064030225,2261.90289403958,184.788866266377,1734.78186510722,178.669406028051,21.2088398885655,4,22544.5121124268,71029.7072418931,209639123.353703
"71","1_3",4,209710153.060945,0,1829.064030225,2261.90289403958,184.788866266377,1734.78186510722,178.669406028051,21.2088398885655,5,28715.8296252441,99745.5368671372,209610407.524078
"72","1_3",4,209710153.060945,0,1829.064030225,2261.90289403958,184.788866266377,1734.78186510722,178.669406028051,21.2088398885655,6,35736.0320404053,135481.568907543,209574671.492038
"73","1_3",4,209710153.060945,0,1829.064030225,2261.90289403958,184.788866266377,1734.78186510722,178.669406028051,21.2088398885655,7,43146.5121936035,178628.081101146,209531524.979844
"74","1_3",4,209710153.060945,0,1829.064030225,2261.90289403958,184.788866266377,1734.78186510722,178.669406028051,21.2088398885655,8,19886.4889099121,198514.570011058,209511638.490934
"75","1_3",4,209710153.060945,0,1829.064030225,2261.90289403958,184.788866266377,1734.78186510722,178.669406028051,21.2088398885655,9,34300.4782629394,232815.048273998,209477338.012671
"76","1_3",4,209710153.060945,0,1829.064030225,2261.90289403958,184.788866266377,1734.78186510722,178.669406028051,21.2088398885655,10,29500.1473712158,262315.195645213,209447837.8653
"77","1_3",4,209710153.060945,0,1829.064030225,2261.90289403958,184.788866266377,1734.78186510722,178.669406028051,21.2088398885655,11,32816.9107281494,295132.106373363,209415020.954572
"78","1_3",4,209710153.060945,0,1829.064030225,2261.90289403958,184.788866266377,1734.78186510722,178.669406028051,21.2088398885655,12,32469.979134318,327602.085507681,209382550.975437
"79","1_3",4,209710153.060945,0,1829.064030225,2261.90289403958,184.788866266377,1734.78186510722,178.669406028051,21.2088398885655,13,43807.1421417236,371409.227649404,209338743.833296
"80","1_3",4,209710153.060945,0,1829.064030225,2261.90289403958,184.788866266377,1734.78186510722,178.669406028051,21.2088398885655,14,112785.782657509,484195.010306914,209225958.050638
"81","1_3",4,209710153.060945,0,1829.064030225,2261.90289403958,184.788866266377,1734.78186510722,178.669406028051,21.2088398885655,15,121356.573702393,605551.584009306,209104601.476936
"82","1_3",4,209710153.060945,0,1829.064030225,2261.90289403958,184.788866266377,1734.78186510722,178.669406028051,21.2088398885655,16,362307.109444758,967858.693454064,208742294.367491
"83","1_3",4,209710153.060945,0,1829.064030225,2261.90289403958,184.788866266377,1734.78186510722,178.669406028051,21.2088398885655,17,113352.131283687,1081210.82473775,208628942.236207
"84","1_3",4,209710153.060945,0,1829.064030225,2261.90289403958,184.788866266377,1734.78186510722,178.669406028051,21.2088398885655,18,129781.846370263,1210992.67110801,208499160.389837
"85","1_3",4,209710153.060945,0,1829.064030225,2261.90289403958,184.788866266377,1734.78186510722,178.669406028051,21.2088398885655,19,148553.971901245,1359546.64300926,208350606.417936
"86","1_3",4,209710153.060945,0,1829.064030225,2261.90289403958,184.788866266377,1734.78186510722,178.669406028051,21.2088398885655,20,36832.3344055176,1396378.97741478,208313774.08353
"87","1_3",4,209710153.060945,0,1829.064030225,2261.90289403958,184.788866266377,1734.78186510722,178.669406028051,21.2088398885655,21,229674.282962647,1626053.26037742,208084099.800568
"88","1_3",4,209710153.060945,0,1829.064030225,2261.90289403958,184.788866266377,1734.78186510722,178.669406028051,21.2088398885655,22,65025.7469268798,1691079.0073043,208019074.053641
"89","1_4",5,224064094.263853,0,2422.03902801321,5712.50990012149,177.255538322786,370.232445898215,180.219291797253,3.73776603860571,1,4399.62933349609,4399.62933349609,224059694.634519
"90","1_4",5,224064094.263853,0,2422.03902801321,5712.50990012149,177.255538322786,370.232445898215,180.219291797253,3.73776603860571,2,0,4399.62933349609,224059694.634519
"91","1_4",5,224064094.263853,0,2422.03902801321,5712.50990012149,177.255538322786,370.232445898215,180.219291797253,3.73776603860571,3,0,4399.62933349609,224059694.634519
"92","1_4",5,224064094.263853,0,2422.03902801321,5712.50990012149,177.255538322786,370.232445898215,180.219291797253,3.73776603860571,4,4399.77239990234,8799.40173339844,224055294.862119
"93","1_4",5,224064094.263853,0,2422.03902801321,5712.50990012149,177.255538322786,370.232445898215,180.219291797253,3.73776603860571,5,862.214096679687,9661.61583007812,224054432.648023
"94","1_4",5,224064094.263853,0,2422.03902801321,5712.50990012149,177.255538322786,370.232445898215,180.219291797253,3.73776603860571,6,7004.40498596191,16666.02081604,224047428.243037
"95","1_4",5,224064094.263853,0,2422.03902801321,5712.50990012149,177.255538322786,370.232445898215,180.219291797253,3.73776603860571,7,880.048522949219,17546.0693389893,224046548.194514
"96","1_4",5,224064094.263853,0,2422.03902801321,5712.50990012149,177.255538322786,370.232445898215,180.219291797253,3.73776603860571,8,0,17546.0693389893,224046548.194514
"97","1_4",5,224064094.263853,0,2422.03902801321,5712.50990012149,177.255538322786,370.232445898215,180.219291797253,3.73776603860571,9,5253.11734130859,22799.1866802979,224041295.077172
"98","1_4",5,224064094.263853,0,2422.03902801321,5712.50990012149,177.255538322786,370.232445898215,180.219291797253,3.73776603860571,10,0,22799.1866802979,224041295.077172
"99","1_4",5,224064094.263853,0,2422.03902801321,5712.50990012149,177.255538322786,370.232445898215,180.219291797253,3.73776603860571,11,21981.0019171143,44780.1885974121,224019314.075255
"100","1_4",5,224064094.263853,0,2422.03902801321,5712.50990012149,177.255538322786,370.232445898215,180.219291797253,3.73776603860571,12,49153.890970459,93934.0795678711,223970160.184285
"101","1_4",5,224064094.263853,0,2422.03902801321,5712.50990012149,177.255538322786,370.232445898215,180.219291797253,3.73776603860571,13,0,93934.0795678711,223970160.184285
"102","1_4",5,224064094.263853,0,2422.03902801321,5712.50990012149,177.255538322786,370.232445898215,180.219291797253,3.73776603860571,14,2613.34488647461,96547.4244543457,223967546.839398
"103","1_4",5,224064094.263853,0,2422.03902801321,5712.50990012149,177.255538322786,370.232445898215,180.219291797253,3.73776603860571,15,3519.70544433594,100067.129898682,223964027.133954
"104","1_4",5,224064094.263853,0,2422.03902801321,5712.50990012149,177.255538322786,370.232445898215,180.219291797253,3.73776603860571,16,1733.82836547852,101800.95826416,223962293.305588
"105","1_4",5,224064094.263853,0,2422.03902801321,5712.50990012149,177.255538322786,370.232445898215,180.219291797253,3.73776603860571,17,0,101800.95826416,223962293.305588
"106","1_4",5,224064094.263853,0,2422.03902801321,5712.50990012149,177.255538322786,370.232445898215,180.219291797253,3.73776603860571,18,3413.91642089844,105214.874685059,223958879.389168
"107","1_4",5,224064094.263853,0,2422.03902801321,5712.50990012149,177.255538322786,370.232445898215,180.219291797253,3.73776603860571,19,3422.74010253906,108637.614787598,223955456.649065
"108","1_4",5,224064094.263853,0,2422.03902801321,5712.50990012149,177.255538322786,370.232445898215,180.219291797253,3.73776603860571,20,0,108637.614787598,223955456.649065
