system:index,ID,distance_1,distance_10,distance_11,distance_12,distance_13,distance_14,distance_15,distance_16,distance_17,distance_18,distance_19,distance_2,distance_20,distance_21,distance_22,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,treated,.geo
1_0,1.0,53.600373133029585,31.827660925679098,31.827660925679098,31.240998703626616,31.240998703626616,31.240998703626616,31.240998703626616,31.240998703626616,31.240998703626616,31.240998703626616,31.240998703626616,31.827660925679098,31.240998703626616,31.240998703626616,31.240998703626616,31.827660925679098,31.827660925679098,31.827660925679098,31.827660925679098,31.827660925679098,31.827660925679098,31.827660925679098,1,"{""type"":""Point"",""coordinates"":[-49.40506408877506,-3.2196989127028224]}"
1_1,2.0,118.43141475132347,14.560219778561036,14.560219778561036,4.47213595499958,4.47213595499958,4.47213595499958,4.47213595499958,4.47213595499958,4.47213595499958,4.47213595499958,4.47213595499958,87.29833904490967,4.47213595499958,4.47213595499958,4.47213595499958,87.29833904490967,46.84015371452148,46.84015371452148,29.0,29.0,14.560219778561036,14.560219778561036,1,"{""type"":""Point"",""coordinates"":[-49.30806884455062,-3.1408793965101567]}"
1_2,3.0,180.17769007288334,25.495097567963924,4.47213595499958,4.47213595499958,4.47213595499958,4.47213595499958,4.47213595499958,4.47213595499958,4.47213595499958,4.47213595499958,4.47213595499958,43.382023926967726,4.47213595499958,4.47213595499958,4.47213595499958,43.382023926967726,43.382023926967726,43.382023926967726,43.382023926967726,25.495097567963924,25.495097567963924,25.495097567963924,1,"{""type"":""Point"",""coordinates"":[-49.318056587804314,-3.1239427313546266]}"
1_3,4.0,97.0,21.18962010041709,21.18962010041709,8.94427190999916,8.94427190999916,8.94427190999916,8.94427190999916,8.94427190999916,8.94427190999916,8.94427190999916,8.94427190999916,23.021728866442675,8.94427190999916,8.94427190999916,8.94427190999916,23.021728866442675,21.540659228538015,21.18962010041709,21.18962010041709,21.18962010041709,21.18962010041709,21.18962010041709,1,"{""type"":""Point"",""coordinates"":[-49.42909707281413,-3.2389891724874484]}"
1_4,5.0,181.06904760339356,48.91829923454004,48.91829923454004,48.91829923454004,48.91829923454004,40.80441152620633,40.80441152620633,40.80441152620633,40.80441152620633,40.80441152620633,40.80441152620633,89.44271909999159,40.80441152620633,40.80441152620633,40.80441152620633,89.44271909999159,48.91829923454004,48.91829923454004,48.91829923454004,48.91829923454004,48.91829923454004,48.91829923454004,1,"{""type"":""Point"",""coordinates"":[-49.3697332690289,-3.269575899946203]}"
1_5,6.0,30.0,29.206163733020468,29.206163733020468,29.206163733020468,29.206163733020468,29.206163733020468,29.206163733020468,29.206163733020468,29.206163733020468,29.206163733020468,29.206163733020468,30.0,29.206163733020468,29.206163733020468,29.206163733020468,30.0,30.0,30.0,29.206163733020468,29.206163733020468,29.206163733020468,29.206163733020468,1,"{""type"":""Point"",""coordinates"":[-49.3517703212052,-3.1942810042864074]}"
1_6,7.0,114.49017425089369,35.510561809129406,25.059928172283335,25.059928172283335,25.059928172283335,25.059928172283335,25.059928172283335,25.059928172283335,25.059928172283335,25.059928172283335,25.059928172283335,79.30952023559341,25.059928172283335,25.059928172283335,25.059928172283335,79.30952023559341,39.01281840626232,39.01281840626232,35.510561809129406,35.510561809129406,35.510561809129406,35.510561809129406,1,"{""type"":""Point"",""coordinates"":[-49.35386713207792,-3.164913002637535]}"
1_7,8.0,60.60528029800704,27.784887978899608,27.784887978899608,5.385164807134504,5.385164807134504,5.385164807134504,5.385164807134504,5.385164807134504,5.385164807134504,5.385164807134504,5.385164807134504,41.048751503547585,5.385164807134504,5.385164807134504,5.385164807134504,41.048751503547585,29.0,27.784887978899608,27.784887978899608,27.784887978899608,27.784887978899608,27.784887978899608,1,"{""type"":""Point"",""coordinates"":[-49.357039225276715,-3.2172725758413963]}"
1_8,9.0,261.00766272276377,20.8806130178211,20.8806130178211,20.8806130178211,20.8806130178211,20.8806130178211,20.8806130178211,20.8806130178211,20.8806130178211,20.8806130178211,20.8806130178211,20.8806130178211,20.8806130178211,0.0,0.0,20.8806130178211,20.8806130178211,20.8806130178211,20.8806130178211,20.8806130178211,20.8806130178211,20.8806130178211,1,"{""type"":""Point"",""coordinates"":[-49.39606908342694,-3.319325401318276]}"
1_9,10.0,133.18408313308313,11.045361017187261,11.045361017187261,11.045361017187261,11.045361017187261,11.045361017187261,11.045361017187261,11.045361017187261,11.045361017187261,11.045361017187261,11.045361017187261,46.09772228646444,11.045361017187261,11.045361017187261,11.045361017187261,11.045361017187261,11.045361017187261,11.045361017187261,11.045361017187261,11.045361017187261,11.045361017187261,11.045361017187261,1,"{""type"":""Point"",""coordinates"":[-49.39358632692217,-3.1714714840150235]}"
1_10,11.0,46.52956049652737,27.294688127912362,27.294688127912362,22.80350850198276,22.80350850198276,22.80350850198276,22.80350850198276,22.80350850198276,22.80350850198276,22.80350850198276,22.80350850198276,27.294688127912362,22.80350850198276,22.80350850198276,22.80350850198276,27.294688127912362,27.294688127912362,27.294688127912362,27.294688127912362,27.294688127912362,27.294688127912362,27.294688127912362,1,"{""type"":""Point"",""coordinates"":[-49.40429954360106,-3.2171086670240956]}"
1_11,12.0,84.21995013059554,41.78516483155236,41.78516483155236,41.78516483155236,41.78516483155236,41.78516483155236,41.78516483155236,37.107950630558946,37.107950630558946,37.107950630558946,37.107950630558946,41.78516483155236,37.107950630558946,37.107950630558946,1.0,41.78516483155236,41.78516483155236,41.78516483155236,41.78516483155236,41.78516483155236,41.78516483155236,41.78516483155236,1,"{""type"":""Point"",""coordinates"":[-49.37369277703278,-3.2225327363935246]}"
