"","system:index","ID","treecover_2000","treated","accessibility","accessibility_walking_only","aspect","elevation","hillshade","slope","year","loss","cum_loss","treecover_remaining"
"1","1_0",1,166946553.823005,0,570.858118931316,2405.60182834711,169.612998986655,157.249198955723,180.003600558634,3.54080196125282,1,4457.04846191406,4457.04846191406,166942096.774543
"2","1_0",1,166946553.823005,0,570.858118931316,2405.60182834711,169.612998986655,157.249198955723,180.003600558634,3.54080196125282,2,891.350952148438,5348.3994140625,166941205.423591
"3","1_0",1,166946553.823005,0,570.858118931316,2405.60182834711,169.612998986655,157.249198955723,180.003600558634,3.54080196125282,3,0,5348.3994140625,166941205.423591
"4","1_0",1,166946553.823005,0,570.858118931316,2405.60182834711,169.612998986655,157.249198955723,180.003600558634,3.54080196125282,4,2674.11529541016,8022.51470947266,166938531.308295
"5","1_0",1,166946553.823005,0,570.858118931316,2405.60182834711,169.612998986655,157.249198955723,180.003600558634,3.54080196125282,5,0,8022.51470947266,166938531.308295
"6","1_0",1,166946553.823005,0,570.858118931316,2405.60182834711,169.612998986655,157.249198955723,180.003600558634,3.54080196125282,6,1773.88910522461,9796.40381469727,166936757.41919
"7","1_0",1,166946553.823005,0,570.858118931316,2405.60182834711,169.612998986655,157.249198955723,180.003600558634,3.54080196125282,7,2673.90472412109,12470.3085388184,166934083.514466
"8","1_0",1,166946553.823005,0,570.858118931316,2405.60182834711,169.612998986655,157.249198955723,180.003600558634,3.54080196125282,8,4456.86151123047,16927.1700500488,166929626.652955
"9","1_0",1,166946553.823005,0,570.858118931316,2405.60182834711,169.612998986655,157.249198955723,180.003600558634,3.54080196125282,9,0,16927.1700500488,166929626.652955
"10","1_0",1,166946553.823005,0,570.858118931316,2405.60182834711,169.612998986655,157.249198955723,180.003600558634,3.54080196125282,10,4456.63958740234,21383.8096374512,166925170.013367
"11","1_0",1,166946553.823005,0,570.858118931316,2405.60182834711,169.612998986655,157.249198955723,180.003600558634,3.54080196125282,11,26742.1733398438,48125.9829772949,166898427.840027
"12","1_0",1,166946553.823005,0,570.858118931316,2405.60182834711,169.612998986655,157.249198955723,180.003600558634,3.54080196125282,12,20447.7221655273,68573.7051428223,166877980.117862
"13","1_0",1,166946553.823005,0,570.858118931316,2405.60182834711,169.612998986655,157.249198955723,180.003600558634,3.54080196125282,13,122650.310110474,191224.015253296,166755329.807751
"14","1_0",1,166946553.823005,0,570.858118931316,2405.60182834711,169.612998986655,157.249198955723,180.003600558634,3.54080196125282,14,113004.546806329,304228.562059625,166642325.260945
"15","1_0",1,166946553.823005,0,570.858118931316,2405.60182834711,169.612998986655,157.249198955723,180.003600558634,3.54080196125282,15,11561.6353979492,315790.197457575,166630763.625547
"16","1_0",1,166946553.823005,0,570.858118931316,2405.60182834711,169.612998986655,157.249198955723,180.003600558634,3.54080196125282,16,18853.2797393799,334643.477196954,166611910.345808
"17","1_0",1,166946553.823005,0,570.858118931316,2405.60182834711,169.612998986655,157.249198955723,180.003600558634,3.54080196125282,17,27517.759375,362161.236571955,166584392.586433
"18","1_0",1,166946553.823005,0,570.858118931316,2405.60182834711,169.612998986655,157.249198955723,180.003600558634,3.54080196125282,18,7086.75053283691,369247.987104791,166577305.8359
"19","1_0",1,166946553.823005,0,570.858118931316,2405.60182834711,169.612998986655,157.249198955723,180.003600558634,3.54080196125282,19,43563.5106457519,412811.497750543,166533742.325254
"20","1_0",1,166946553.823005,0,570.858118931316,2405.60182834711,169.612998986655,157.249198955723,180.003600558634,3.54080196125282,20,5348.48394775391,418159.981698297,166528393.841306
"21","1_0",1,166946553.823005,0,570.858118931316,2405.60182834711,169.612998986655,157.249198955723,180.003600558634,3.54080196125282,21,0,418159.981698297,166528393.841306
