system:index,ID,accessibility,accessibility_walking_only,aspect,be75,hillshade,slope,.geo
1_0,1.0,160.28354379077535,309.905531716577,165.10209024111617,189.93698940983714,180.31157426120038,1.0551863809885782,"{""type"":""Polygon"",""coordinates"":[[[-67.48901437370154,-10.907660572801015],[-67.55150996157332,-10.916398170488536],[-67.60904128685927,-10.94191692280985],[-67.65703605313166,-10.982189504962347],[-67.69167565580237,-11.034015470806136],[-67.71019855814589,-11.093274392731997],[-67.71112137154842,-11.155252317240548],[-67.6943596863393,-11.215016024760445],[-67.6612382063546,-11.267805617089865],[-67.61438831664044,-11.30941423116667],[-67.55754026933424,-11.336524409111863],[-67.49522597762248,-11.346973878748292],[-67.43241613863124,-11.33992903967237],[-67.37412124526523,-11.315951899924388],[-67.32498931704691,-11.27695494438546],[-67.28893347922876,-11.226047657125408],[-67.26881981030552,-11.167287319974353],[-67.26624049568005,-11.105354466577076],[-67.28138990278963,-11.045179325342069],[-67.31305253213293,-10.991549283789226],[-67.35870273072184,-10.948728629706006],[-67.41470733317969,-10.92012056897566],[-67.47661463999364,-10.907997969532232],[-67.48901437370154,-10.907660572801015]]]}"
1_1,2.0,2616.6802875289254,3647.1736657384063,164.89470118610222,809.5094891342975,177.2161610315462,10.162979151465235,"{""type"":""Polygon"",""coordinates"":[[[-71.75381118522466,-11.950216132262245],[-71.81653727594478,-11.95895310750973],[-71.87428181049684,-11.98447018633589],[-71.92245624797302,-12.024740565189141],[-71.95722785512895,-12.076564484555956],[-71.97582415211083,-12.135822155115715],[-71.9767549979782,-12.197800014266152],[-71.95993424163905,-12.257564863577793],[-71.92669033882507,-12.310356449007616],[-71.87966391892242,-12.351967285270167],[-71.82259939298878,-12.379079220113008],[-71.76004658832505,-12.389529432059616],[-71.69699623207724,-12.382484088551614],[-71.63847904118835,-12.35850535539278],[-71.5891615050216,-12.319506215688751],[-71.55297175177873,-12.268596836094947],[-71.53278613129085,-12.209835151783812],[-71.53020167401849,-12.147902116448332],[-71.54541205730021,-12.087728014531141],[-71.57719595459497,-12.0340999087148],[-71.62301751531099,-11.99128148290585],[-71.67922998584928,-11.962675248484349],[-71.74136575205553,-11.950553504490285],[-71.75381118522466,-11.950216132262245]]]}"
1_2,3.0,921.9495730517182,2240.527929117606,150.48293830350676,177.6319405747373,180.3031528657398,0.4529382524752489,"{""type"":""Polygon"",""coordinates"":[[[-67.67117556357987,-12.811680643022324],[-67.73410917938087,-12.820417100333177],[-67.79204560614508,-12.84593278660299],[-67.84038163938551,-12.886201331956142],[-67.87527182858108,-12.938023548196487],[-67.8939338889019,-12.99728017717861],[-67.89487167980863,-13.059257981692285],[-67.87799757096785,-13.119023781031354],[-67.84464346597649,-13.17181702510787],[-67.79745834522893,-13.213429710807832],[-67.74019934222491,-13.240543107915556],[-67.67743233838341,-13.250993937700986],[-67.61416598935814,-13.24394817434374],[-67.55544911237475,-13.219968114981599],[-67.50596474340065,-13.180967157462815],[-67.46965448251815,-13.130056036607163],[-67.4494039451995,-13.07129323133379],[-67.44681458731996,-13.009360044830578],[-67.4620795520084,-12.94918680804451],[-67.49397235002107,-12.895560313226948],[-67.53994800471011,-12.852743741723138],[-67.596347540693,-12.82413902702822],[-67.65868898436851,-12.812017994861211],[-67.67117556357987,-12.811680643022324]]]}"
1_3,4.0,330.06597874192727,613.7960791705667,157.77729612434885,170.11252100094904,180.2690939248637,0.8880763784970195,"{""type"":""Polygon"",""coordinates"":[[[-66.9549704670888,-12.196307093085302],[-67.01775425337985,-12.205043920723138],[-67.07555214264323,-12.230560602679635],[-67.12377152049464,-12.270830459004545],[-67.15857611781557,-12.32265389300996],[-67.17719072479714,-12.381911266753143],[-67.17812352576823,-12.443889110355656],[-67.16128795088554,-12.50365423042696],[-67.1280134085255,-12.556446288547635],[-67.08094284741406,-12.598057651860069],[-67.02382421778773,-12.62517000341062],[-66.96121181655145,-12.635620391423991],[-66.89810136415647,-12.62857492827079],[-66.8395286188531,-12.604595817179057],[-66.79016467719183,-12.565596159438813],[-66.75394141579471,-12.514686283613129],[-66.73373775896151,-12.45592427983096],[-66.7311519621352,-12.393991201392582],[-66.7463775467644,-12.333817346005459],[-66.77819174392356,-12.280189699292663],[-66.82405616116466,-12.237371801939254],[-66.88032064601423,-12.208766000629181],[-66.94251359478841,-12.196644459502517],[-66.9549704670888,-12.196307093085302]]]}"
1_4,5.0,2232.6648567736174,3161.2984610309463,168.93570225948773,177.13548120166436,180.26238336260155,1.2974833373528525,"{""type"":""Polygon"",""coordinates"":[[[-69.3073112585842,-7.543532101433102],[-69.36921293488442,-7.552271680189029],[-69.42619433318633,-7.577795758562222],[-69.47372466338634,-7.6180753522112985],[-69.50802175143735,-7.669907829385208],[-69.52635268583387,-7.729170731408786],[-69.5272521989325,-7.791148861738022],[-69.5106411725432,-7.850908934655763],[-69.47783527909428,-7.903692184974032],[-69.43144234099381,-7.945293729378189],[-69.37515590132297,-7.972398318516885],[-69.3134610418098,-7.98284542694229],[-69.2512758983483,-7.9758021924044655],[-69.19355787633162,-7.951830121327662],[-69.14490666068933,-7.912840114324214],[-69.10919639793805,-7.861939484539818],[-69.08926686707824,-7.803183435221023],[-69.0866983451845,-7.741251162843971],[-69.10168776884798,-7.681072716409775],[-69.13303541041027,-7.627436516161984],[-69.17824239124229,-7.584608771295157],[-69.23371066513857,-7.555994898258587],[-69.29502925417788,-7.543869576152599],[-69.3073112585842,-7.543532101433102]]]}"
1_5,6.0,842.3041860461243,2924.404244581555,173.1919313243441,226.58735392762537,180.2194309586032,2.2990501243458823,"{""type"":""Polygon"",""coordinates"":[[[-69.6432604103033,-9.2678594628088],[-69.70543829725511,-9.276598030876459],[-69.76267558736713,-9.302119392089047],[-69.81042227055782,-9.342395408858234],[-69.84487922362952,-9.394224564521776],[-69.86330011980883,-9.453485436515633],[-69.86421109122746,-9.515463462258372],[-69.84753036659,-9.575225389561329],[-69.81457766669554,-9.628011875115359],[-69.76797171100698,-9.669617025711489],[-69.71142316918926,-9.69672446554904],[-69.64943906392978,-9.70717277834024],[-69.5869622032379,-9.70012872538874],[-69.5289749156805,-9.67615406893392],[-69.48009954323376,-9.637160517563604],[-69.44422843724595,-9.586256491672202],[-69.42421356827181,-9.527498254784629],[-69.42164061412761,-9.465565685614544],[-69.43670512759455,-9.405388924894327],[-69.46819986494602,-9.351755866218314],[-69.51361337633142,-9.308931738643068],[-69.5693312569005,-9.280320830819656],[-69.63092365815436,-9.268196897740584],[-69.6432604103033,-9.2678594628088]]]}"
1_6,7.0,545.8159992245327,1190.2859187196282,170.46158957373902,158.2033900218733,180.19845301567923,1.274061428605311,"{""type"":""Polygon"",""coordinates"":[[[-67.62946009535891,-8.91053317872968],[-67.69157591617387,-8.919271956993622],[-67.74875573200472,-8.94479388331177],[-67.79645386748275,-8.985070644010943],[-67.83087500676805,-9.036900490528351],[-67.84927581806058,-9.09616178480189],[-67.85018433313901,-9.158139832367489],[-67.83351934029022,-9.217901374026166],[-67.80059962170992,-9.270687186687576],[-67.75404143657221,-9.312291587194505],[-67.69755161643278,-9.339398434066249],[-67.63563228437326,-9.349846496336607],[-67.57322074773317,-9.342802613624064],[-67.5152937791949,-9.318828494948802],[-67.46646866346092,-9.27983568081385],[-67.43063367580056,-9.22893236128407],[-67.41063803972317,-9.170174579347307],[-67.4080661932971,-9.108242071838474],[-67.42311396428084,-9.04806496044701],[-67.45457576338822,-8.994431248333818],[-67.4999429428944,-8.95160636841744],[-67.5556047689291,-8.922994843896452],[-67.6171356462331,-8.910870621936223],[-67.62946009535891,-8.91053317872968]]]}"
1_7,8.0,1456.6497219810237,1866.3070682406353,172.22314936362335,186.9028344456118,180.20542178779107,1.9179760563411778,"{""type"":""Polygon"",""coordinates"":[[[-68.41861813865309,-8.4194539017819],[-68.4806527944602,-8.428192968254882],[-68.53775742962019,-8.45371566940604],[-68.58539202486766,-8.493993450110056],[-68.61976624426859,-8.54582424382841],[-68.63814068794716,-8.605086117032833],[-68.63904589773037,-8.667064194459503],[-68.62240142244484,-8.726825207329135],[-68.58952483958713,-8.779610097401298],[-68.54302920013158,-8.82121346951208],[-68.48661630834451,-8.848319503425442],[-68.4247818559035,-8.85876722223429],[-68.3624559227826,-8.851723572917413],[-68.30460798115037,-8.827750191537929],[-68.25584867557198,-8.788758388171148],[-68.22006093943484,-8.737856037111085],[-68.20009040980862,-8.679098878981215],[-68.19751992409536,-8.617166456073221],[-68.21254569792806,-8.556988863936299],[-68.24396433265805,-8.503354255930686],[-68.28927086279886,-8.460528344482205],[-68.34485935894176,-8.43191597439135],[-68.40630977771494,-8.419791356334338],[-68.41861813865309,-8.4194539017819]]]}"
1_8,9.0,2300.354239715224,5832.3723646042135,173.83029840240383,349.11051047180075,180.3128122993844,3.5458152706709374,"{""type"":""Polygon"",""coordinates"":[[[-71.40620900723002,-10.3536118947005],[-71.46859116994828,-10.362349821372671],[-71.52601754571924,-10.387869458187994],[-71.57392381088991,-10.428143204809556],[-71.60849831485429,-10.479970252172334],[-71.62698493128312,-10.539229835332806],[-71.62790363722975,-10.601207794252343],[-71.61117092778649,-10.660970898254686],[-71.5781096983708,-10.71375943724248],[-71.53134680033607,-10.755366876985406],[-71.47460550501819,-10.78247612651858],[-71.41240887038863,-10.792925203897541],[-71.34971768064263,-10.785880631377184],[-71.29153241871398,-10.761904333644095],[-71.242491971213,-10.722908532335882],[-71.20650206161633,-10.672002350843815],[-71.18642372397017,-10.613242725731169],[-71.1838467937527,-10.551309968614392],[-71.19896602502887,-10.491134278221011],[-71.23056883073052,-10.437503213690691],[-71.27613460557647,-10.394681381950367],[-71.33203687706148,-10.36607235596466],[-71.3938317600155,-10.35394930438269],[-71.40620900723002,-10.3536118947005]]]}"
1_9,10.0,29.546093619739562,179.53043496567594,170.9869686165351,173.66755918189781,180.25596206734753,1.5462939629494803,"{""type"":""Polygon"",""coordinates"":[[[-67.90417484806196,-9.824887637921421],[-67.96645457420999,-9.833625877457084],[-68.02378614405208,-9.859146355413726],[-68.07161241978618,-9.899421209401464],[-68.10612803220397,-9.951249285204597],[-68.12458175907761,-10.010509497092906],[-68.12549664714736,-10.072487488651632],[-68.10879004209282,-10.13225001868828],[-68.07578323256232,-10.185037556010313],[-68.02909898610025,-10.226643879080987],[-67.97245426007935,-10.253752245811842],[-67.9103640870959,-10.264200950208522],[-67.84778025916046,-10.257156631145127],[-67.78969417828581,-10.233181134058778],[-67.74073645194835,-10.194186430299817],[-67.70480610551988,-10.143281300316424],[-67.68475962418928,-10.084522352356732],[-67.68218474511174,-10.022589686878652],[-67.69727660443903,-9.962413474341727],[-67.72882527691966,-9.908781437050743],[-67.77431473673659,-9.865958485410314],[-67.83012456034277,-9.837348541483864],[-67.89181790804611,-9.82522505991998],[-67.90417484806196,-9.824887637921421]]]}"
