"","system:index","ID","treecover_2000","treated","accessibility","accessibility_walking_only","aspect","elevation","hillshade","slope","year","loss","cum_loss","treecover_remaining"
"1","1_0",1,235708532.354359,0,18.2440546600754,116.151252339237,176.504826606324,20.431179228493,180.464199230916,1.01902110960471,1,3729010.88213394,3729010.88213394,231979521.472225
"2","1_0",1,235708532.354359,0,18.2440546600754,116.151252339237,176.504826606324,20.431179228493,180.464199230916,1.01902110960471,2,2262978.58788997,5991989.47002391,229716542.884335
"3","1_0",1,235708532.354359,0,18.2440546600754,116.151252339237,176.504826606324,20.431179228493,180.464199230916,1.01902110960471,3,1944620.74578579,7936610.2158097,227771922.13855
"4","1_0",1,235708532.354359,0,18.2440546600754,116.151252339237,176.504826606324,20.431179228493,180.464199230916,1.01902110960471,4,1718004.21845282,9654614.43426252,226053917.920097
"5","1_0",1,235708532.354359,0,18.2440546600754,116.151252339237,176.504826606324,20.431179228493,180.464199230916,1.01902110960471,5,1873489.33457708,11528103.7688396,224180428.58552
"6","1_0",1,235708532.354359,0,18.2440546600754,116.151252339237,176.504826606324,20.431179228493,180.464199230916,1.01902110960471,6,3047110.26965527,14575214.0384949,221133318.315864
"7","1_0",1,235708532.354359,0,18.2440546600754,116.151252339237,176.504826606324,20.431179228493,180.464199230916,1.01902110960471,7,2183622.23968561,16758836.2781805,218949696.076179
"8","1_0",1,235708532.354359,0,18.2440546600754,116.151252339237,176.504826606324,20.431179228493,180.464199230916,1.01902110960471,8,1974075.71083872,18732911.9890192,216975620.36534
"9","1_0",1,235708532.354359,0,18.2440546600754,116.151252339237,176.504826606324,20.431179228493,180.464199230916,1.01902110960471,9,2052542.70006834,20785454.6890875,214923077.665272
"10","1_0",1,235708532.354359,0,18.2440546600754,116.151252339237,176.504826606324,20.431179228493,180.464199230916,1.01902110960471,10,3420341.97147832,24205796.6605659,211502735.693793
"11","1_0",1,235708532.354359,0,18.2440546600754,116.151252339237,176.504826606324,20.431179228493,180.464199230916,1.01902110960471,11,1581375.88982765,25787172.5503935,209921359.803966
"12","1_0",1,235708532.354359,0,18.2440546600754,116.151252339237,176.504826606324,20.431179228493,180.464199230916,1.01902110960471,12,1083591.02525647,26870763.57565,208837768.778709
"13","1_0",1,235708532.354359,0,18.2440546600754,116.151252339237,176.504826606324,20.431179228493,180.464199230916,1.01902110960471,13,7053853.85420578,33924617.4298558,201783914.924504
"14","1_0",1,235708532.354359,0,18.2440546600754,116.151252339237,176.504826606324,20.431179228493,180.464199230916,1.01902110960471,14,2640978.87225416,36565596.3021099,199142936.052249
"15","1_0",1,235708532.354359,0,18.2440546600754,116.151252339237,176.504826606324,20.431179228493,180.464199230916,1.01902110960471,15,5312328.23154119,41877924.5336511,193830607.820708
"16","1_0",1,235708532.354359,0,18.2440546600754,116.151252339237,176.504826606324,20.431179228493,180.464199230916,1.01902110960471,16,9271597.01167823,51149521.5453293,184559010.80903
"17","1_0",1,235708532.354359,0,18.2440546600754,116.151252339237,176.504826606324,20.431179228493,180.464199230916,1.01902110960471,17,5126554.73328372,56276076.2786131,179432456.075746
"18","1_0",1,235708532.354359,0,18.2440546600754,116.151252339237,176.504826606324,20.431179228493,180.464199230916,1.01902110960471,18,4114411.71967989,60390487.998293,175318044.356066
"19","1_0",1,235708532.354359,0,18.2440546600754,116.151252339237,176.504826606324,20.431179228493,180.464199230916,1.01902110960471,19,3710044.85883095,64100532.8571239,171607999.497235
"20","1_0",1,235708532.354359,0,18.2440546600754,116.151252339237,176.504826606324,20.431179228493,180.464199230916,1.01902110960471,20,2405409.5022999,66505942.3594238,169202589.994935
"21","1_0",1,235708532.354359,0,18.2440546600754,116.151252339237,176.504826606324,20.431179228493,180.464199230916,1.01902110960471,21,2053639.74812444,68559582.1075483,167148950.246811
"22","1_0",1,235708532.354359,0,18.2440546600754,116.151252339237,176.504826606324,20.431179228493,180.464199230916,1.01902110960471,22,2051250.88155543,70610832.9891037,165097699.365256
"23","1_1",2,83841610.5696378,0,474.583916353755,941.424134527091,153.722063682906,7.83149067001971,180.288852710725,0.406208986254201,1,127516.999751786,127516.999751786,83714093.569886
"24","1_1",2,83841610.5696378,0,474.583916353755,941.424134527091,153.722063682906,7.83149067001971,180.288852710725,0.406208986254201,2,127399.470467819,254916.470219604,83586694.0994182
"25","1_1",2,83841610.5696378,0,474.583916353755,941.424134527091,153.722063682906,7.83149067001971,180.288852710725,0.406208986254201,3,54512.4131219482,309428.883341553,83532181.6862963
"26","1_1",2,83841610.5696378,0,474.583916353755,941.424134527091,153.722063682906,7.83149067001971,180.288852710725,0.406208986254201,4,211343.066406339,520771.949747891,83320838.6198899
"27","1_1",2,83841610.5696378,0,474.583916353755,941.424134527091,153.722063682906,7.83149067001971,180.288852710725,0.406208986254201,5,140727.985426116,661499.935174008,83180110.6344638
"28","1_1",2,83841610.5696378,0,474.583916353755,941.424134527091,153.722063682906,7.83149067001971,180.288852710725,0.406208986254201,6,273424.43946106,934924.374635067,82906686.1950028
"29","1_1",2,83841610.5696378,0,474.583916353755,941.424134527091,153.722063682906,7.83149067001971,180.288852710725,0.406208986254201,7,58236.763431813,993161.13806688,82848449.431571
"30","1_1",2,83841610.5696378,0,474.583916353755,941.424134527091,153.722063682906,7.83149067001971,180.288852710725,0.406208986254201,8,189144.196050023,1182305.3341169,82659305.2355209
"31","1_1",2,83841610.5696378,0,474.583916353755,941.424134527091,153.722063682906,7.83149067001971,180.288852710725,0.406208986254201,9,616718.114822706,1799023.44893961,82042587.1206982
"32","1_1",2,83841610.5696378,0,474.583916353755,941.424134527091,153.722063682906,7.83149067001971,180.288852710725,0.406208986254201,10,38066.4478656006,1837089.89680521,82004520.6728326
"33","1_1",2,83841610.5696378,0,474.583916353755,941.424134527091,153.722063682906,7.83149067001971,180.288852710725,0.406208986254201,11,156934.019613408,1994023.91641862,81847586.6532192
